Var1,Var2
MAR03905,Glycolysis / Gluconeogenesis
MAR03907,Glycolysis / Gluconeogenesis
MAR04097,Glycolysis / Gluconeogenesis
MAR04108,Glycolysis / Gluconeogenesis
MAR04133,Glycolysis / Gluconeogenesis
MAR04137,Glycolysis / Gluconeogenesis
MAR04281,Glycolysis / Gluconeogenesis
MAR04388,Glycolysis / Gluconeogenesis
MAR08357,Glycolysis / Gluconeogenesis
MAR04379,Glycolysis / Gluconeogenesis
MAR04301,Glycolysis / Gluconeogenesis
MAR04355,Glycolysis / Gluconeogenesis
MAR04358,Glycolysis / Gluconeogenesis
MAR04363,Glycolysis / Gluconeogenesis
MAR04365,Glycolysis / Gluconeogenesis
MAR04368,Glycolysis / Gluconeogenesis
MAR04370,Glycolysis / Gluconeogenesis
MAR04371,Glycolysis / Gluconeogenesis
MAR04372,Glycolysis / Gluconeogenesis
MAR04373,Glycolysis / Gluconeogenesis
MAR04375,Glycolysis / Gluconeogenesis
MAR04377,Glycolysis / Gluconeogenesis
MAR04381,Glycolysis / Gluconeogenesis
MAR04391,Glycolysis / Gluconeogenesis
MAR04394,Glycolysis / Gluconeogenesis
MAR04396,Glycolysis / Gluconeogenesis
MAR04521,Glycolysis / Gluconeogenesis
MAR06410,Glycolysis / Gluconeogenesis
MAR06412,Glycolysis / Gluconeogenesis
MAR07747,Glycolysis / Gluconeogenesis
MAR08360,Glycolysis / Gluconeogenesis
MAR03989,Starch and sucrose metabolism
MAR04122,Starch and sucrose metabolism
MAR05395,Starch and sucrose metabolism
MAR05396,Starch and sucrose metabolism
MAR09727,Starch and sucrose metabolism
MAR05397,Starch and sucrose metabolism
MAR05398,Starch and sucrose metabolism
MAR05399,Starch and sucrose metabolism
MAR05400,Starch and sucrose metabolism
MAR05401,Starch and sucrose metabolism
MAR08568,Starch and sucrose metabolism
MAR08569,Starch and sucrose metabolism
MAR08570,Starch and sucrose metabolism
MAR08571,Starch and sucrose metabolism
MAR08572,Starch and sucrose metabolism
MAR08573,Starch and sucrose metabolism
MAR08574,Starch and sucrose metabolism
MAR08575,Starch and sucrose metabolism
MAR08576,Starch and sucrose metabolism
MAR08577,Starch and sucrose metabolism
MAR08578,Starch and sucrose metabolism
MAR08579,Starch and sucrose metabolism
MAR08581,Starch and sucrose metabolism
MAR08591,Starch and sucrose metabolism
MAR08592,Starch and sucrose metabolism
MAR08580,Starch and sucrose metabolism
MAR08582,Starch and sucrose metabolism
MAR08587,Starch and sucrose metabolism
MAR08589,Starch and sucrose metabolism
MAR08585,Starch and sucrose metabolism
MAR03944,Galactose metabolism
MAR04128,Galactose metabolism
MAR04130,Galactose metabolism
MAR04131,Galactose metabolism
MAR04132,Galactose metabolism
MAR04303,Galactose metabolism
MAR04414,Galactose metabolism
MAR04416,Galactose metabolism
MAR04774,Galactose metabolism
MAR04775,Galactose metabolism
MAR07674,Galactose metabolism
MAR08761,Galactose metabolism
MAR08762,Galactose metabolism
MAR08766,Galactose metabolism
MAR08767,Galactose metabolism
MAR04297,Fructose and mannose metabolism
MAR04315,Fructose and mannose metabolism
MAR04316,Fructose and mannose metabolism
MAR04383,Fructose and mannose metabolism
MAR04385,Fructose and mannose metabolism
