,Pathways,ListReactions,SetSize,P-value,P-valueadj,Reject
29,Transport reactions,227,2243,1.9314132504673865e-11,8.820120510467731e-10,True
135,Exchange/demand reactions,50,881,2.6397051970864613e-09,7.232792240016905e-08,True
39,Fatty acid activation (cytosolic),49,67,1.5405222504623005e-35,2.1105154831333516e-33,True
11,Nucleotide metabolism,44,108,1.2512609603471192e-17,8.571137578377767e-16,True
124,Fatty acid oxidation,38,374,0.06985624010696725,0.18765303715008852,False
58,Carnitine shuttle (mitochondrial),35,109,7.986829050833327e-11,2.735488949910415e-09,True
52,Omega-6 fatty acid metabolism,16,37,9.312772316689811e-08,2.1264163456441736e-06,True
106,Inositol phosphate metabolism,14,79,0.011507389653203848,0.06096024180082409,False
43,Fatty acid biosynthesis (unsaturated),12,32,2.076355102471172e-05,0.0002844606490385506,True
56,Acyl-CoA hydrolysis,11,61,0.019129772850902914,0.08420152354413633,False
101,Bile acid biosynthesis,11,129,0.10892712642163793,0.2331721299963187,False
86,Glycerophospholipid metabolism,11,82,0.07491676766261028,0.1900666142551409,False
51,Omega-3 fatty acid metabolism,10,66,0.053600466133754444,0.15298466375675748,False
107,Folate metabolism,10,58,0.029998442028683694,0.1141607377202685,False
72,Beta oxidation of di-unsaturated fatty acids (n-6) (mitochondrial),10,19,2.7375818551985744e-06,4.6881089270275587e-05,True
13,Arginine and proline metabolism,10,49,0.011801812233783748,0.06096024180082409,False
57,Carnitine shuttle (cytosolic),10,55,0.022824522360414497,0.09196939892284665,False
10,Pyrimidine metabolism,10,59,0.03262010541249435,0.12078255247328988,False
9,Purine metabolism,9,75,0.11677468475296661,0.23877808673367798,False
109,Biopterin metabolism,7,25,0.006319294928267401,0.03764101761620148,True
84,Sphingolipid metabolism,6,96,0.0745213356938658,0.1900666142551409,False
12,"Alanine, aspartate and glutamate metabolism",6,31,0.04884386339406969,0.14717744575026567,False
21,Cysteine and methionine metabolism,5,27,0.07465744968237005,0.1900666142551409,False
19,"Valine, leucine, and isoleucine metabolism",5,37,0.14498148797229035,0.26841167367842944,False
36,Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism,5,42,0.16941194388754713,0.2881193421532116,False
8,Pentose phosphate pathway,5,22,0.04054364189540273,0.13547509608951644,False
87,Glycosphingolipid biosynthesis-ganglio series,5,21,0.03468708211566194,0.12505605920646543,False
68,Beta oxidation of odd-chain fatty acids (mitochondrial),5,38,0.1506850430479868,0.27232717167511594,False
