Reaction,Pvalue,Padj,Reject,FC
MAR06540,0.0,0.0,True,-1.0
MAR02026,0.0,0.0,True,-0.8355185005209298
MAR04969,0.0,0.0,True,1.0
MAR06557,0.0,0.0,True,-1.0
MAR00204,9.787778496005188e-228,2.9467584016375377e-227,True,-1.0
MAR00104,5.766493709529924e-73,1.1241348656738796e-72,True,-2.1535836177474397
MAR05525,0.0,0.0,True,1.1678860634706132
MAR00436,0.0,0.0,True,1.0
MAR13049,0.0,0.0,True,1.0
MAR05095,1.7223838690805776e-71,3.334661006804406e-71,True,-1.0
MAR01263,3.276878503397688e-229,9.900687544707503e-229,True,-1.0
MAR03282,2.378637707353e-312,8.6077586451e-312,True,-0.8616822429906542
MAR05504,0.0,0.0,True,12.596404282188741
MAR00337,8.104471438015003e-129,1.9286974123770035e-128,True,1.0
MAR05768,3.178500719236986e-104,7.01918908831501e-104,True,-0.871321398466549
MAR08734,0.0,0.0,True,21.02421613425659
MAR01684,3.3346453604534994e-238,1.0345533898772808e-237,True,-1.0
MAR02671,8.329499266785476e-31,1.2650893214747612e-30,True,-1.0
MAR04852,0.0,0.0,True,-1.6485964041147387
MAR06816,2.8792906275024907e-226,8.607421100312969e-226,True,-0.941501976284585
MAR01452,0.0,0.0,True,59.35025115772696
MAR05544,0.0,0.0,True,1.849167355788258
MAR05386,0.0,0.0,True,1.0
MAR03856,0.0,0.0,True,1.0
MAR00637,5.77199391392635e-29,8.622403122154219e-29,True,-1.0
MAR04693,4.2252283893369713e-26,6.170482791316449e-26,True,1.0
MAR05367,1.583096794215111e-16,2.1030800232288473e-16,True,0.9320388349514563
MAR06014,0.0,0.0,True,1.1923065979106204
MAR09066,0.0,0.0,True,-0.9151329908304611
MAR02718,0.0,0.0,True,2.3779952707023746
MAR05047,0.0,0.0,True,-1.0
MAR04775,1.37830107357921e-75,2.7265924814817344e-75,True,0.898680722732751
MAR01528,6.977595468924532e-13,8.84454552712706e-13,True,1.535207255819479
MAR04864,0.0,0.0,True,1.2176094610810555
MAR05560,0.0,0.0,True,1.0574662508648183
MAR04121,0.0,0.0,True,-1.0
MAR03769,0.0,0.0,True,1.0
MAR03802,0.0,0.0,True,1.6611047075957701
MAR02433,0.0,0.0,True,1.0
MAR02673,0.0,0.0,True,15.695991660310302
MAR02489,2.165237789572251e-146,5.416288039991943e-146,True,-1.0
MAR02412,0.0,0.0,True,0.9797839537685569
MAR06386,0.0,0.0,True,0.8808067672535012
MAR02598,0.0,0.0,True,-1.9431569742020112
MAR09074,2.954780090542833e-124,6.928074239945592e-124,True,-1.0
MAR11378,0.0,0.0,True,-1.0
MAR02518,4.2252283893369713e-26,6.170482791316449e-26,True,1.0
MAR05578,0.0,0.0,True,2.4888855588764796
MAR01870,0.0,0.0,True,1.0
MAR02430,0.0,0.0,True,1.0
MAR04856,0.0,0.0,True,-0.8764238182749159
MAR06040,0.0,0.0,True,-1.2605454215072756
MAR02861,5.463699054715322e-23,7.713457489009866e-23,True,-0.941908713692946
MAR06277,0.0,0.0,True,-1.1270947066575832
MAR04542,0.0,0.0,True,-1.8942666381378188
MAR06049,0.0,0.0,True,-1.7501052323970085
MAR00624,3.044463318719866e-194,8.577092672008128e-194,True,1.0
MAR02319,0.0,0.0,True,-1.0
MAR08453,0.0,0.0,True,-0.8434852680665244
MAR06019,0.0,0.0,True,-1.9547027933617305
MAR00357,0.0,0.0,True,1.0
MAR02405,0.0,0.0,True,-0.9442747669789658
MAR04781,1.71298283268853e-299,6.02742507103682e-299,True,-1.0
MAR05373,1.9235329004551243e-12,2.4297257689959467e-12,True,0.9540229885057472
MAR03179,7.44e-321,2.716e-320,True,1.0
MAR00850,0.0,0.0,True,-1.0
MAR01718,1.0148679071081967e-90,2.117985197443193e-90,True,1.0
MAR11962,1.950431899186327e-231,5.942393714407205e-231,True,1.0
MAR05549,0.0,0.0,True,-1.5549926223455472
MAR01872,0.0,0.0,True,1.0
MAR00402,1.6854754603285594e-147,4.232822873717527e-147,True,1.0
MAR04540,0.0,0.0,True,-1.9464472639692676
MAR06542,0.0,0.0,True,-1.0
MAR03804,0.0,0.0,True,-1.679569631095096
MAR05404,2.4846719977672545e-13,3.179580262736366e-13,True,0.9052631578947367
MAR05484,0.0,0.0,True,2.5665515879563947
MAR06036,0.0,0.0,True,1.2850454916195957
MAR00385,9.573740017762756e-254,3.1145261643463487e-253,True,-1.0
MAR06561,0.0,0.0,True,-1.0
MAR02295,0.0,0.0,True,1.0
MAR04792,0.0,0.0,True,1.0
MAR01911,1.4539281678631267e-82,2.949595900353903e-82,True,-1.0
MAR00433,0.0,0.0,True,-1.0
MAR04304,4.0687670654048253e-07,4.728617366098619e-07,True,1.0
MAR00621,0.0,0.0,True,-1.0
MAR05481,0.0,0.0,True,2.5371633394784014
MAR02726,8.949959584179312e-121,2.0736518380830755e-120,True,-1.0
MAR05443,0.0,0.0,True,-0.9749771132133048
MAR12269,0.0,0.0,True,-1.0
MAR12238,0.0,0.0,True,-1.0
MAR08451,0.0,0.0,True,-1.33710974604091
MAR00844,0.0,0.0,True,-1.0
MAR02618,6.35561979903014e-177,1.7182462028408796e-176,True,1.0
MAR11377,0.0,0.0,True,1.0
MAR08530,0.0,0.0,True,1.8146063584314902
MAR05531,0.0,0.0,True,1.1325215034712388
MAR03285,2.432149587982038e-292,8.464279824659787e-292,True,-0.8458498023715413
MAR10454,4.0290020167724145e-303,1.4315336774677407e-302,True,-1.0
MAR01562,1.0688832325706935e-55,1.9028963916443977e-55,True,1.0
MAR00090,8.261606911209574e-109,1.8436428054488733e-108,True,-1.0
MAR05035,3.476699126770538e-269,1.1622500103159328e-268,True,-2.4008055881303214
MAR07865,0.0,0.0,True,0.9240736239033107
MAR05462,0.0,0.0,True,3.0640756633149273
MAR02656,2.0469594201199992e-24,2.9271864894802013e-24,True,13.508333333333354
MAR02817,2.8565575057657556e-20,3.919677613089581e-20,True,-0.8912133891213389
MAR00849,0.0,0.0,True,-1.0
MAR09440,0.0,0.0,True,1.0
MAR00050,0.0,0.0,True,2.114285356987763
MAR08345,2.954780090542833e-124,6.928074239945592e-124,True,-1.0
MAR00209,2.4405826232998913e-255,8.001085301127479e-255,True,1.0
MAR04706,0.0,0.0,True,1.0
MAR13052,0.0,0.0,True,1.0
MAR00297,2.8792906275024907e-226,8.607421100312969e-226,True,-1.0
MAR02321,0.0,0.0,True,-1.0
MAR00393,1.913210671452109e-237,5.921177552523315e-237,True,-1.0
MAR06046,0.0,0.0,True,-3.4864194730865403
MAR04184,7.616605126266247e-130,1.815992824856732e-129,True,-1.0
MAR04287,1.8396077338375514e-25,2.65303972499021e-25,True,1.0
MAR04615,0.0,0.0,True,-1.0
MAR02653,6.954764781424622e-15,9.073293130227815e-15,True,-1.0
MAR00975,1.2831248062176252e-51,2.2450271712638504e-51,True,-1.0
MAR02435,0.0,0.0,True,1.0
MAR05124,0.0,0.0,True,1.0000486265871977
MAR04066,0.0,0.0,True,-1.0
MAR03292,8.728508819758152e-307,3.131921923478807e-306,True,-0.8483353884093712
MAR06661,0.0,0.0,True,1.0
MAR05506,0.0,0.0,True,-0.9656336770483931
MAR00389,1.1400715982144689e-69,2.193904800194863e-69,True,-1.0
MAR07621,0.0,0.0,True,1.0
MAR09254,0.0,0.0,True,1.0
MAR02257,0.0,0.0,True,1.0
MAR00397,0.0,0.0,True,1.1181574021972935
MAR06675,0.0,0.0,True,1.0
MAR05420,0.0,0.0,True,-1.0
MAR08606,0.0,0.0,True,1.0
MAR01717,5.9614800888747065e-230,1.8054768269163398e-229,True,-1.0
MAR02744,0.0,0.0,True,74.43689247594384
MAR03281,4.0290020167724145e-303,1.4315336774677407e-302,True,-0.849393746011487
MAR09917,7.053692183224609e-30,1.0636984537121165e-29,True,1.0
MAR00377,0.0,0.0,True,1.0935522904062231
MAR03796,0.0,0.0,True,1.5055803512328036
MAR02655,0.0,0.0,True,0.9745464457905008
MAR01231,4.783946836177524e-214,1.395683572389406e-213,True,1.0
MAR00616,9.787778496005188e-228,2.9467584016375377e-227,True,-1.0
MAR00143,0.0,0.0,True,-2.0489665724186006
MAR02220,0.0,0.0,True,-0.9479950250483923
MAR08458,0.0,0.0,True,-1.119042525100981
MAR00412,0.0,0.0,True,-1.0
MAR06047,0.0,0.0,True,4.116795415340798
MAR00200,0.0,0.0,True,-1.0
MAR07849,0.0,0.0,True,-0.9150591521954418
MAR02724,3.249629335590343e-173,8.738960919388828e-173,True,-1.0090702947845804
MAR00321,2.4405826232998913e-255,8.001085301127479e-255,True,-1.0
MAR04212,0.0,0.0,True,1.0
MAR05520,0.0,0.0,True,-27.31123718722632
MAR00275,0.0,0.0,True,-1.0
MAR02422,0.0,0.0,True,-0.9212031394682848
MAR07832,0.0,0.0,True,-1.0
MAR05503,0.0,0.0,True,2.109199954869256
MAR00373,3.6027861920308306e-137,8.82145146537674e-137,True,-1.0
MAR01487,0.0,0.0,True,45.56328721095833
MAR00646,3.3346453604534994e-238,1.0345533898772808e-237,True,-1.0
MAR04338,4.295221386124656e-50,7.433362725374915e-50,True,1.0
MAR00365,0.0,0.0,True,1.0
MAR02172,0.0,0.0,True,-1.0
MAR05501,0.0,0.0,True,-2.8579527645282274
MAR05444,7.175492688065991e-99,1.5430645307218833e-98,True,-1.0
MAR05389,0.0,0.0,True,1.0
MAR02644,0.0,0.0,True,93.97718847292057
MAR12270,0.0,0.0,True,-1.0
MAR00369,9.028555903609494e-139,2.217050793318779e-138,True,-1.0
MAR04689,0.0,0.0,True,1.0
MAR01984,0.0,0.0,True,1.0
MAR01853,1.7943295882682484e-228,5.414916337549732e-228,True,1.0
MAR02741,1.2696120775805016e-24,1.8196580987970682e-24,True,-1.0
MAR04061,1.0803862970983087e-230,3.2759269842885547e-230,True,1.0
MAR05385,0.0,0.0,True,1.0
MAR03262,6.347395071559649e-193,1.7764326800932616e-192,True,-1.0
MAR02491,1.5860009962863472e-134,3.838997654188837e-134,True,-1.0
MAR08653,2.321597219050034e-08,2.7611703250412745e-08,True,1.0
MAR07871,0.0,0.0,True,-1.3282207851468126
MAR02638,0.0,0.0,True,-2.112547784603876
MAR06392,4.564357804197157e-28,6.774636087443154e-28,True,1.0
MAR03023,1.4773569429441138e-42,2.4484664904559125e-42,True,-1.0
MAR00405,0.0,0.0,True,0.9689883496773112
MAR00421,2.165237789572251e-146,5.416288039991943e-146,True,-1.0
MAR02372,0.0,0.0,True,-1.0
MAR06389,2.6052708465525705e-99,5.626323458089762e-99,True,-1.0
MAR00451,0.0,0.0,True,-2.411469294857191
MAR06595,0.0,0.0,True,-1.0
MAR05572,0.0,0.0,True,14.049793242410738
MAR02732,2.162984997510718e-22,3.033425487137413e-22,True,0.9739130434782608
MAR00030,0.0,0.0,True,0.8398784885863428
MAR00293,2.6326626964252556e-128,6.241839608299954e-128,True,1.0
MAR08448,0.0,0.0,True,-2.0173384075749325
MAR01621,0.0,0.0,True,-0.8764911182732137
MAR03816,0.0,0.0,True,1.0
MAR00617,0.0,0.0,True,1.0
MAR00968,0.017090148468768534,0.017891908520389774,True,-1.0
MAR02953,1.0803862970983087e-230,3.2759269842885547e-230,True,1.0
MAR05114,0.0,0.0,True,-1.0
MAR10442,0.0,0.0,True,1.0
MAR02727,0.0,0.0,True,1.0164277543276528
MAR08468,0.0,0.0,True,-1.982061893947629
MAR03272,2.883581140542334e-192,8.043673707828617e-192,True,1.0
MAR05463,0.0,0.0,True,1.2707759798021856
MAR02633,0.0,0.0,True,-1.0
MAR00279,7.016474642372289e-217,2.056441415921095e-216,True,1.0
MAR00927,0.008353146175741297,0.00880298420508942,True,-1.0
MAR03181,2.654008492884042e-301,9.390539090260088e-301,True,1.0
MAR07626,0.0,0.0,True,1.0
MAR12196,0.0,0.0,True,-1.0
MAR05573,0.0,0.0,True,-2.065896771830685
MAR03869,0.0,0.0,True,-1.0
MAR07715,0.0,0.0,True,-1.0
MAR02434,0.0,0.0,True,1.0
MAR03783,0.0,0.0,True,-1.0
MAR04340,1.690722046468961e-05,1.8964712902191524e-05,True,-1.0
MAR00323,2.7323854739240687e-158,7.1002948372449755e-158,True,1.0
MAR01895,1.95944553657125e-33,3.0229408399255673e-33,True,1.0
MAR04078,0.0,0.0,True,1.0
MAR04863,4.0290020167724145e-303,1.4315336774677407e-302,True,1.1353555360423295
MAR01766,0.0,0.0,True,1.0
MAR02740,1.8396077338375514e-25,2.65303972499021e-25,True,1.0
MAR05569,0.0,0.0,True,1.0350779290193024
MAR04122,7.2395025979917e-117,1.648817780599005e-116,True,1.0
MAR00643,2.380997184745219e-223,7.067977640597243e-223,True,-1.0
MAR00437,0.0,0.0,True,-1.0
MAR02629,0.0,0.0,True,0.9274670076937165
MAR06546,7.250751977715377e-306,2.590718122374708e-305,True,-1.0
MAR08462,0.0,0.0,True,1.0220904689151025
MAR03408,1.8396077338375514e-25,2.65303972499021e-25,True,1.0
MAR04505,0.0,0.0,True,1.0
MAR00158,0.0,0.0,True,-3.8363813086421135
MAR02426,0.0,0.0,True,1.0
MAR04927,2.4605561027288845e-244,7.834361358375823e-244,True,-1.0
MAR06035,0.0,0.0,True,1.6210099879998676
MAR06009,0.0,0.0,True,-2.082840700019841
MAR10026,8.342554314270397e-225,2.4851824561479965e-224,True,1.0
MAR03751,0.0,0.0,True,1.0
MAR03457,5.77199391392635e-29,8.622403122154219e-29,True,-1.0
MAR08992,0.0,0.0,True,1.230599478051045
MAR05508,0.0,0.0,True,1.6630687285940007
MAR04381,4.4017018933952624e-74,8.627064419720761e-74,True,0.9940091785979279
MAR05477,0.0,0.0,True,1.0746592878728554
MAR02338,8.609790616330956e-50,1.4879964217354588e-49,True,-1.0
MAR03454,7.053692183224609e-30,1.0636984537121165e-29,True,-1.0
MAR00341,0.0,0.0,True,1.0
MAR02982,6.754654990327923e-20,9.238624889996901e-20,True,-0.8902953586497889
MAR01771,0.0,0.0,True,1.0
MAR04872,0.0,0.0,True,-1.0885862171956788
MAR01715,0.0,0.0,True,0.8348756075124932
MAR06347,0.005306868855560685,0.0056182581641890895,True,-1.0
MAR03029,0.0,0.0,True,1.1720568449848605
MAR06846,0.0,0.0,True,-0.9012276941065116
MAR09062,0.0,0.0,True,-0.9718690043003638
MAR02313,8.470621055424192e-24,1.2031970946398184e-23,True,-0.8988326848249026
MAR11810,1.950431899186327e-231,5.942393714407205e-231,True,1.0
MAR05384,0.0,0.0,True,1.0
MAR00106,0.0,0.0,True,-2.0634694852530933
MAR06246,0.0,0.0,True,-1.0
MAR00245,1.1212474452080554e-233,3.4408365507952868e-233,True,1.0
MAR04456,0.0,0.0,True,-1.3871631941583928
MAR07814,0.0,0.0,True,-16.75684204972279
MAR01897,4.1963089360010326e-94,8.881372656561254e-94,True,-1.0
