,Pathways,ListReactions,SetSize,P-value,P-valueadj,Reject
29,Transport reactions,207,2243,3.105066458101587e-08,7.089901745998623e-07,True
135,Exchange/demand reactions,47,881,3.304802133513806e-07,6.4679698898770205e-06,True
124,Fatty acid oxidation,46,374,0.005347500737053391,0.03052531670734644,True
39,Fatty acid activation (cytosolic),44,67,2.2991731062074997e-31,1.5749335777521373e-29,True
58,Carnitine shuttle (mitochondrial),32,109,2.100969891524252e-10,7.195821878470564e-09,True
42,Fatty acid biosynthesis (odd-chain),29,29,5.646096751764438e-32,7.735152549917281e-30,True
11,Nucleotide metabolism,23,108,2.441246886091904e-05,0.0002963069363065676,True
72,Beta oxidation of di-unsaturated fatty acids (n-6) (mitochondrial),18,19,7.886125691697699e-19,3.6013307325419487e-17,True
43,Fatty acid biosynthesis (unsaturated),16,32,9.988845751462385e-10,2.7369437359006936e-08,True
57,Carnitine shuttle (cytosolic),14,55,0.00011846546837273858,0.001159269226218942,True
13,Arginine and proline metabolism,13,49,0.00013046161408355875,0.0011915494086298366,True
56,Acyl-CoA hydrolysis,13,61,0.0011468142965589154,0.008612765302052995,True
101,Bile acid biosynthesis,9,129,0.1075841539461172,0.2736635896645863,False
45,Fatty acid elongation (odd-chain),8,12,9.241285763319863e-07,1.5825701869685264e-05,True
67,Beta oxidation of even-chain fatty acids (mitochondrial),7,59,0.10986494475585583,0.2736635896645863,False
86,Glycerophospholipid metabolism,7,82,0.15659820756206816,0.3287825036743437,False
12,"Alanine, aspartate and glutamate metabolism",6,31,0.030435384406585917,0.1263689640883452,False
9,Purine metabolism,6,75,0.1654187883896111,0.3287825036743437,False
23,Beta-alanine metabolism,6,11,0.00011075175891508823,0.001159269226218942,True
21,Cysteine and methionine metabolism,5,27,0.05115445058106455,0.18442525604225904,False
69,Beta oxidation of unsaturated fatty acids (n-7) (mitochondrial),5,17,0.00947274245630878,0.04991406601978088,True
68,Beta oxidation of odd-chain fatty acids (mitochondrial),5,38,0.1200321424427372,0.2884983072746491,False
10,Pyrimidine metabolism,5,59,0.18403104478622914,0.3426857176522467,False
52,Omega-6 fatty acid metabolism,4,37,0.18510031464427926,0.3426857176522467,False
61,Acylglycerides metabolism,4,20,0.06136705695041759,0.20017349529064785,False
104,Nicotinate and nicotinamide metabolism,4,24,0.09446842547820151,0.2537681233434041,False
51,Omega-3 fatty acid metabolism,4,66,0.1503934904748091,0.3287825036743437,False
87,Glycosphingolipid biosynthesis-ganglio series,4,21,0.06939019504426439,0.2160558345696414,False
107,Folate metabolism,4,58,0.18182560936702333,0.3426857176522467,False
36,Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism,4,42,0.20089686151260167,0.34409016103447776,False
64,Beta oxidation of unsaturated fatty acids (n-9) (peroxisomal),4,38,0.18924984894189775,0.34409016103447776,False
48,Fatty acid biosynthesis,4,49,0.20346133183958792,0.3441259563212783,False
6,Propanoate metabolism,3,16,0.10877881129489828,0.2736635896645863,False
15,"Glycine, serine and threonine metabolism",3,37,0.23314848050714929,0.371410951505575,False
84,Sphingolipid metabolism,3,96,0.020671096570067316,0.10114072250354365,False
19,"Valine, leucine, and isoleucine metabolism",3,37,0.23314848050714929,0.371410951505575,False
54,Leukotriene metabolism,3,139,0.0011944711002847218,0.008612765302052995,True
8,Pentose phosphate pathway,2,22,0.2829433925848253,0.41680908370022657,False
3,Fructose and mannose metabolism,2,10,0.16006757271832986,0.3287825036743437,False
134,Drug metabolism,2,168,2.5953892231232196e-05,0.0002963069363065676,True
106,Inositol phosphate metabolism,2,79,0.022188474937508244,0.10482141608409068,False
78,Cholesterol biosynthesis 1 (Bloch pathway),2,27,0.27529975538475854,0.4099572444316513,False
81,Cholesterol metabolism,2,45,0.1548539388285611,0.3287825036743437,False
110,Ascorbate and aldarate metabolism,2,4,0.03629907065170026,0.14208493369379815,False
102,Bile acid recycling,2,32,0.24888290312552883,0.3831118845864882,False
113,Riboflavin metabolism,2,5,0.0553784950756575,0.19453471347089943,False
121,Pool reactions,1,11,0.38494165588237345,0.4975189326026902,False
1,Starch and sucrose metabolism,1,33,0.1617606306028057,0.3287825036743437,False
71,Beta oxidation of unsaturated fatty acids (n-9) (mitochondrial),1,21,0.30140621552222524,0.43465948975310376,False
62,Beta oxidation of even-chain fatty acids (peroxisomal),1,48,0.060974717148994106,0.20017349529064785,False
