Reaction,Pvalue,Padj,Reject,FC
MAR09685,0.0,0.0,True,1.0
MAR04482,3.652067838154094e-260,1.3224832011893274e-259,True,-1.0
MAR08077,0.0,0.0,True,1.0
MAR11802,0.0,0.0,True,0.8842951270726234
MAR00204,1.0010596819739184e-239,3.393537916474085e-239,True,-1.0
MAR05525,2.8513106707793296e-126,6.9405074376531e-126,True,42.61990156970101
MAR02231,0.0,0.0,True,-0.8261435780563243
MAR01263,3.3346453604534994e-238,1.1227989439043835e-237,True,-1.0
MAR03282,1.7492235820299696e-06,1.9712343437961945e-06,True,1.0
MAR05504,0.0,0.0,True,8.881177852246282
MAR00337,2.3731348927723294e-117,5.575302784808815e-117,True,1.0
MAR02685,0.0,0.0,True,-1.0
MAR08734,0.0,0.0,True,3.40855624425558
MAR01684,1.1212474452080554e-233,3.7200962444070453e-233,True,-1.0
MAR06816,7.89195695786226e-174,2.1878258455407043e-173,True,-0.9025522041763343
MAR01452,0.0,0.0,True,2.096682776846426
MAR05544,0.0,0.0,True,2.216645651741008
MAR11695,0.0,0.0,True,-1.0
MAR05386,0.0,0.0,True,1.0
MAR03132,0.0,0.0,True,1.0
MAR03897,0.0,0.0,True,-0.9981374680443909
MAR05586,0.0,0.0,True,12.623855830615447
MAR04586,0.0,0.0,True,1.4284104963279554
MAR04693,1.6300754154993291e-28,2.5027927148743548e-28,True,1.0
MAR07863,0.0,0.0,True,1.2190426241998829
MAR04656,0.0,0.0,True,-1.0
MAR02312,2.883581140542334e-192,8.444289842315873e-192,True,1.0
MAR05367,7.246822006432893e-17,9.8640594141026e-17,True,1.0
MAR02229,0.0,0.0,True,-0.8259670322453536
MAR07808,5.835110804296636e-95,1.2550518497172504e-94,True,1.2579242185716129
MAR06014,0.0,0.0,True,1.809643654634816
MAR03244,0.0,0.0,True,1.0
MAR02625,0.0,0.0,True,1.3978814961933135
MAR04864,0.0,0.0,True,6.209914326950577
MAR05560,0.0,0.0,True,1.0316859433072085
MAR03769,0.0,0.0,True,1.0
MAR03802,2.0217057490332576e-151,5.3377310516803996e-151,True,0.8354212387415136
MAR02267,4.13683688024471e-245,1.4236424849945586e-244,True,-1.0
MAR02246,0.0,0.0,True,-0.8258524875867285
MAR02412,1.5818384838992494e-101,3.47725728398998e-101,True,-1.0
MAR02598,9.623755032161114e-258,3.449894943281893e-257,True,-1.0145719489981786
MAR09074,2.8792906275024907e-226,9.1982459867077e-226,True,-1.0
MAR11378,0.0,0.0,True,-1.0
MAR05578,0.0,0.0,True,0.8318745399092524
MAR03275,6.990901300156074e-06,7.790218286685755e-06,True,1.0
MAR06101,0.0,0.0,True,-1.0
MAR06277,0.0,0.0,True,-5.236816689470431
MAR02681,0.0,0.0,True,-1.0
MAR06049,3.827420009052391e-167,1.0470847502835214e-166,True,-6.524997513522666
MAR00624,1.2110195357376333e-203,3.6316030548862923e-203,True,1.0
MAR03182,1.0803862970983087e-230,3.537485316614541e-230,True,1.0
MAR02319,4.7209757282453527e-135,1.1838024564796135e-134,True,-1.0
MAR08453,0.0,0.0,True,-1.3913711739537125
MAR02662,0.0,0.0,True,2.1317870321560357
MAR05579,0.0,0.0,True,-2.7926906102310527
MAR06019,0.0,0.0,True,-2.1259792799333055
MAR00357,0.0,0.0,True,1.0
MAR07896,0.0,0.0,True,1.0
MAR04781,0.0,0.0,True,-1.0
MAR05373,1.5702401851850447e-15,2.0905812497527678e-15,True,1.0
MAR00194,0.0,0.0,True,-1.0
MAR01718,5.568767486084818e-92,1.1814689521923148e-91,True,1.0
MAR11962,1.7943295882682484e-228,5.79152952487617e-228,True,1.0
MAR05549,0.0,0.0,True,-1.6487143161888271
MAR03804,2.7323854739240687e-158,7.314701456481279e-158,True,-0.8840625654290555
MAR05404,1.003727957465678e-14,1.3215310046843624e-14,True,1.0
MAR02343,0.0,0.0,True,-1.0
MAR08947,0.0,0.0,True,1.0
MAR05484,0.0,0.0,True,1.2312474717505106
MAR02228,0.0,0.0,True,-0.8219874414432372
MAR00385,6.926908895158878e-246,2.3871046537874865e-245,True,-1.0
MAR04792,0.0,0.0,True,1.0
MAR01911,1.1412985810949231e-07,1.3269058526709382e-07,True,-1.0
MAR00433,0.0,0.0,True,-1.0
MAR04304,3.528972349889754e-06,3.95542947572998e-06,True,1.0
MAR08609,0.0,0.0,True,-0.9959047899079286
MAR00339,0.0,0.0,True,1.0
MAR05581,0.0,0.0,True,-3.070366155509017
MAR02242,0.0,0.0,True,-0.8274476215575173
MAR05443,2.165237789572251e-146,5.6332307455503295e-146,True,1.0
MAR08451,0.0,0.0,True,-9.33077183372458
MAR00844,0.0,0.0,True,-1.0
MAR11377,0.0,0.0,True,1.0
MAR03285,8.513708327314542e-07,9.699407432260175e-07,True,1.0
MAR01562,2.954780090542833e-124,7.136666336790289e-124,True,1.0
MAR02241,0.0,0.0,True,-0.8239857392797015
MAR09804,0.0,0.0,True,-1.0
MAR00239,0.0,0.0,True,-1.0
MAR11443,0.0,0.0,True,-1.0
MAR05035,1.0010596819739184e-239,3.393537916474085e-239,True,-11.642917015926233
MAR07865,0.0,0.0,True,1.2374953017204935
MAR05195,0.0,0.0,True,1.0
MAR05462,0.0,0.0,True,4.655439630612088
MAR06050,0.0,0.0,True,-0.9813934262587107
MAR09440,0.0,0.0,True,1.0
MAR08345,2.954780090542833e-124,7.136666336790289e-124,True,-1.0
MAR04706,0.0,0.0,True,1.0
MAR00297,6.283426277106529e-233,2.0736968996535436e-232,True,-1.0
MAR02646,0.0,0.0,True,-2.3669775095995615
MAR02321,4.147632068006112e-136,1.0442322915918518e-135,True,-1.0
MAR03222,0.0,0.0,True,1.0
MAR03861,3.785311998550522e-209,1.150347556197753e-208,True,-1.0
MAR00393,3.5288451775889846e-235,1.1739291624112688e-234,True,-1.0
MAR06046,0.0,0.0,True,-1.2526264105889355
MAR07850,0.0,0.0,True,0.8645035367063211
MAR04184,5.9614800888747065e-230,1.9417614649794248e-229,True,-1.0
MAR04287,1.3701847820965857e-22,1.9968522379269752e-22,True,1.0
MAR02634,0.0,0.0,True,-2.0415806490066135
MAR00214,2.7804448531502193e-202,8.308035818694368e-202,True,-1.0
MAR00975,6.360994696792759e-141,1.6277622326664548e-140,True,-1.0
MAR02233,0.0,0.0,True,-0.8240191038439852
MAR00620,0.0,0.0,True,-1.0
MAR05545,0.0,0.0,True,0.9968674567142285
MAR05124,0.0,0.0,True,1.0007610965939888
MAR02683,0.0,0.0,True,1.0
MAR07842,0.0,0.0,True,-0.8994197527187079
MAR03292,1.7492235820299696e-06,1.9712343437961945e-06,True,1.0
MAR02620,0.0,0.0,True,1.0
MAR05506,0.0,0.0,True,-0.9600904998063887
MAR02247,0.0,0.0,True,-0.8245198631938963
MAR00389,1.8582877929472538e-74,3.688486908037708e-74,True,-1.0
MAR05181,0.0,0.0,True,1.0
MAR00399,0.0,0.0,True,-1.0
MAR07621,0.0,0.0,True,1.0
MAR09254,0.0,0.0,True,1.0
MAR02677,0.0,0.0,True,1.0
MAR02257,0.0,0.0,True,-0.8606039841417454
MAR05343,0.0,0.0,True,-1.0
MAR02744,0.0,0.0,True,10.063303057218734
MAR03281,1.9092886474554655e-07,2.207449108156342e-07,True,1.0
MAR09917,9.710257857878779e-29,1.4945770114378502e-28,True,1.0
MAR02606,3.4081594308883767e-100,7.452548448787467e-100,True,-3.901960784313726
MAR09411,0.0,0.0,True,0.8809894097607938
MAR00377,0.0,0.0,True,1.0086034413765508
MAR03111,0.0,0.0,True,1.0
MAR06020,0.0,0.0,True,-80.79181591750552
MAR01593,1.2354887717127082e-13,1.593046245696748e-13,True,0.8699999999999999
MAR13061,4.6808597738937573e-265,1.7250731367599594e-264,True,-1.0
MAR02655,0.0,0.0,True,0.9605959073718963
MAR01231,8.342554314270397e-225,2.6515507024337125e-224,True,1.0
MAR05536,0.0,0.0,True,-1.2878754336610427
MAR09894,0.0,0.0,True,-1.0
MAR02230,0.0,0.0,True,-0.8235977816889716
MAR00275,0.0,0.0,True,-1.0
MAR00319,1.7223838690805776e-71,3.3757641424635043e-71,True,1.0
MAR07832,0.0,0.0,True,-1.0
MAR03426,3.328318371004937e-274,1.2525119661624915e-273,True,-1.0
MAR04695,0.0,0.0,True,-0.8310724384289447
MAR00373,3.6027861920308306e-137,9.088929776660184e-137,True,-1.0
MAR01487,0.0,0.0,True,8.942712841851543
MAR06028,0.0,0.0,True,12.60760708193988
MAR04081,0.0,0.0,True,1.0
MAR00365,0.0,0.0,True,1.0
MAR02172,0.0,0.0,True,-1.0
MAR00982,1.5360187987153305e-210,4.685045113441014e-210,True,1.0
MAR05501,0.0,0.0,True,-16.909575648122196
MAR05444,0.0,0.0,True,-1.0
MAR05389,0.0,0.0,True,1.0
MAR02644,0.0,0.0,True,2.018325640476838
MAR00369,2.6270185242115367e-139,6.6950063512847646e-139,True,-1.0
MAR03895,0.0,0.0,True,-0.9982310033886622
MAR06054,0.0,0.0,True,-0.9953689006328834
MAR09068,0.0,0.0,True,-1.0087893436280588
MAR04689,0.0,0.0,True,1.0
MAR01984,0.0,0.0,True,1.0
MAR01853,6.926908895158878e-246,2.3871046537874865e-245,True,1.0
MAR04061,1.4009782290842566e-250,4.9024413486188215e-250,True,1.0
MAR00250,0.0,0.0,True,1.0
MAR05385,0.0,0.0,True,1.0
MAR01045,1.476364542563226e-97,3.2058568613535676e-97,True,-1.0
MAR05566,0.0,0.0,True,1.4470046622279968
MAR03212,0.0,0.0,True,-1.0
MAR03279,1.7492235820299696e-06,1.9712343437961945e-06,True,1.0
MAR10021,0.0,0.0,True,1.0
MAR08653,1.3433151993983066e-08,1.5937096635752616e-08,True,1.0
MAR00403,0.0,0.0,True,-1.0
MAR02268,1.5797675045356538e-267,5.847952409223229e-267,True,-1.0
MAR07871,0.0,0.0,True,-8.885413601184597
MAR02638,0.0,0.0,True,-0.8228656347177412
MAR00160,0.0,0.0,True,-4.589575214033677
MAR06392,0.0,0.0,True,-0.9922228973179412
MAR03023,8.22523681091035e-119,1.9563361147017466e-118,True,-1.0
MAR00405,0.0,0.0,True,0.8363448768485938
MAR00421,1.5860009962863472e-134,3.9570724857344364e-134,True,-1.0
MAR02372,0.0,0.0,True,-1.0
MAR06389,0.0,0.0,True,-1.0
MAR05572,0.0,0.0,True,1.3672756859410427
MAR07822,0.0,0.0,True,2.1712352940723054
MAR00293,7.616605126266247e-130,1.86857716716168e-129,True,1.0
MAR00617,0.0,0.0,True,1.0
MAR02953,5.318760661816324e-227,1.705695096559348e-226,True,1.0
MAR05114,0.0,0.0,True,-1.0
MAR00378,0.0,0.0,True,0.939665787159191
MAR03130,0.0,0.0,True,1.0
MAR05463,0.0,0.0,True,1.3553851670828476
MAR00279,9.704116365850591e-220,3.034056432681357e-219,True,1.0
MAR05907,0.0,0.0,True,-0.8478670847885085
MAR02407,6.607762098084648e-199,1.9626626708001426e-198,True,1.0
MAR07626,0.0,0.0,True,1.0
MAR00569,0.0,0.0,True,1.0
MAR05573,0.0,0.0,True,-2.214038109070345
MAR03783,0.0,0.0,True,-1.0
MAR04340,1.2354887717127082e-13,1.593046245696748e-13,True,-1.0
MAR00323,1.0884735931836574e-153,2.889086824460878e-153,True,1.0
MAR01895,1.95944553657125e-33,3.133856803682865e-33,True,1.0
MAR04078,0.0,0.0,True,1.0
MAR05956,0.0,0.0,True,-0.9319324698450172
MAR01766,0.0,0.0,True,1.0
MAR04970,4.036316194958692e-153,1.0702028593434577e-152,True,1.0
MAR02676,0.0,0.0,True,-1.0
MAR04122,4.361853008614382e-112,9.984241519718242e-112,True,1.0
MAR02630,0.0,0.0,True,-1.4713711621925736
MAR08462,0.0,0.0,True,1.0831113604046025
MAR04505,2.332572779609904e-16,3.152637640913711e-16,True,-1.0
MAR05510,0.0,0.0,True,-7.588384444118435
MAR06035,0.0,0.0,True,0.840937174134297
MAR04262,0.0,0.0,True,0.8278318016952044
MAR03421,5.77199391392635e-29,8.911587138147427e-29,True,-1.0
MAR06009,0.0,0.0,True,-5.408503345811096
MAR10026,2.4224167161371645e-213,7.434107880396341e-213,True,1.0
MAR03751,0.0,0.0,True,1.0
MAR00446,2.529553479526401e-118,5.987889878006044e-118,True,1.0
MAR05477,0.0,0.0,True,1.0663639685237694
MAR02338,2.2050501705623116e-140,5.636885425771483e-140,True,-1.0
