Compounds,Exchange Reactions,Done,Eschange Reactions,,Comps,,IDs,Uptake Rate,
arginine(e),,,MAM01365e,,arginine[e],,MAM01365e,-0.02,1
histidine(e),,,MAM02125e,,histidine[e],,MAM02125e,-0.02,2
lysine(e),,,MAM02426e,,lysine[e],,MAM02426e,-0.02,3
methionine(e),,,MAM02471e,,methionine[e],,MAM02471e,-0.02,4
phenylalanine(e),,,MAM02724e,,phenylalanine[e],,MAM02724e,-0.02,5
tryptophan(e),,,MAM03089e,,tryptophan[e],,MAM03089e,-0.02,6
tyrosine(e),,,MAM03101e,,tyrosine[e],,MAM03101e,-0.02,7
alanine(e),,,MAM01307e,,alanine[e],,MAM01307e,-0.02,8
glycine(e),,,MAM01986e,,glycine[e],,MAM01986e,-0.02,9
serine(e),,,MAM02896e,,serine[e],,MAM02896e,-0.02,10
threonine(e),,,MAM02993e,,threonine[e],,MAM02993e,-0.02,11
aspartate(e),,,MAM01370e,,aspartate[e],,MAM01370e,-0.02,12
glutamate(e),,,MAM01974e,,glutamate[e],,MAM01974e,-0.02,13
asparagine(e),,,MAM01369e,,asparagine[e],,MAM01369e,-0.02,14
glutamine(e),,,MAM01975e,,glutamine[e],,MAM01975e,-0.1,15
isoleucine(e),,,MAM02184e,,isoleucine[e],,MAM02184e,-0.02,16
leucine(e),,,MAM02360e,,leucine[e],,MAM02360e,-0.02,17
proline(e),,,MAM02770e,,proline[e],,MAM02770e,-0.02,18
valine(e),,,MAM03135e,,valine[e],,MAM03135e,-0.02,19
cysteine(e),,,MAM01628e,,cysteine[e],,MAM01628e,-0.02,20
thiamin(e),,,MAM02982e,,thiamin[e],,MAM02982e,-0.02,21
hypoxanthine(e),,,MAM02159e,,hypoxanthine[e],,MAM02159e,-1,22
folate(e),,,MAM01830e,,folate[e],,MAM01830e,-1,23
biotin(e),,,MAM01401e,,biotin[e],,MAM01401e,-1,24
pantothenate(e),,,MAM02680e,,pantothenate[e],,MAM02680e,-1,25
choline(e),,,MAM01513e,,choline[e],,MAM01513e,-1,26
inositol(e),,,MAM02171e,,inositol[e],,MAM02171e,-1,27
nicotinamide(e),,,MAM02583e,,nicotinamide[e],,MAM02583e,-1,28
pyridoxine(e),,,MAM02817e,,pyridoxine[e],,MAM02817e,-1,29
riboflavin(e),,,MAM02842e,,riboflavin[e],,MAM02842e,-1,30
thymidine(e),,,MAM02996e,,thymidine[e],,MAM02996e,-1,31
aquacob(III)alamin(e),,,MAM01361e,,aquacob(III)alamin[e],,MAM01361e,-1,32
lipoic acid(e),,,MAM02394e,,lipoic acid[e],,MAM02394e,-1,33
glucose(e),,,MAM01965e,,glucose[e],,MAM01965e,-0.04,34
sulfate(e),,,MAM02946e,,sulfate[e],,MAM02946e,-1,35
linoleate(e),,,MAM02387e,,linoleate[e],,MAM02387e,-0.02,36
linolenate(e),,,MAM02389e,,linolenate[e],,MAM02389e,-0.02,37
O2(e),,,MAM02630e,,O2[e],,MAM02630e,-0.224,38
H2O(e),,,MAM02040e,,H2O[e],,MAM02040e,-1,39
retinoate(e),,,MAM02833e,,retinoate[e],,MAM02833e,-1,40
Fe2+(e),,,MAM01821e,,Fe2+[e],,MAM01821e,-1,41
Pi(e),,,MAM02751e,,Pi[e],,MAM02751e,-1,42
alpha-tocopherol(e),,,MAM01327e,,alpha-tocopherol[e],,MAM01327e,-1,43
gamma-tocopherol(e),,,MAM01935e,,gamma-tocopherol[e],,MAM01935e,-1,44
