"","Gene_Symbol","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12","s13","s14","s15","s16","s17","s18","s19","s20","s21","s22","s23","s24","s25","s26","s27","s28","s29","s30"
"35","ENSG00000121410",8,4,0,2,2,0,0,0,1,0,3,6,0,3,0,1,0,0,6,3,0,0,5,3,2,1,6,6,9,0
"36","ENSG00000268895",161,177,133,20,17,314,28,0,117,147,158,68,3,3,9,1,1,245,118,174,218,266,134,131,82,114,209,123,180,125
"37","ENSG00000148584",0,3,1,2,2,2,0,0,1,1,4,0,0,0,0,1,0,3,0,2,2,1,1,1,0,1,1,5,1,4
"38","ENSG00000175899",17,5,1,0,0,29,0,1,8,17,0,8,0,2,2,0,0,40,3,10,0,2,5,1,2,3,7,2,4,24
"39","ENSG00000245105",87,77,38,13,0,0,5,12,26,97,162,33,1,22,25,9,0,133,49,33,0,1,207,85,16,117,85,34,30,30
"40","ENSG00000166535",2,2,0,1,2,0,0,4,0,2,1,2,4,121,1,0,0,0,1,3,2,4,0,3,1,0,1,1,1,1
"43","ENSG00000291190",4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,2,1,0,0,0,3,1,0
"44","ENSG00000184389",18,20,8,2,0,35,0,0,55,64,10,78,0,0,8,0,7,4,39,21,0,1,15,77,24,50,122,30,7,44
"45","ENSG00000128274",0,1,117,0,0,0,2,0,3,1,0,0,1,1,2,0,0,1,1,4,0,2,0,0,4,1,1,2,8,3
"46","ENSG00000118017",0,0,1,0,1,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"47","ENSG00000094914",714,737,827,181,283,631,124,2,427,830,666,609,0,0,41,6,0,1292,518,710,511,693,841,445,400,855,1219,476,510,998
"48","ENSG00000081760",413,374,156,11,44,194,39,100,153,591,344,144,2,36,39,89,2,762,251,371,109,231,432,320,141,363,393,288,244,487
"49","ENSG00000291019",0,1,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,1,1,2,1,1,0,1,0,0,0,2
"50","ENSG00000114771",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
"51","ENSG00000197953",7,0,0,2,1,2,0,0,0,3,1,0,0,0,0,1,0,6,0,0,1,0,0,1,2,2,0,0,0,1
"52","ENSG00000188984",3,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,3,0,0,0,1,0,2
"53","ENSG00000204518",0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,3,0,1,0,0,1,0,0
"54","ENSG00000109576",4,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,2,0,1,0,1,1,0
"56","ENSG00000103591",818,733,169,167,77,215,57,0,341,989,262,360,0,51,4,1,47,397,720,886,146,0,798,856,489,345,471,383,358,508
"57","ENSG00000115977",2222,1941,2691,7279,9210,2383,565,973,1570,3404,1319,3166,220,276,342,2464,5036,2425,1442,470,2,1969,1022,1005,763,1975,2397,1616,921,2077
