"","V1"
"P2RX6","ENSG00000099957"
"CBY1","ENSG00000100211"
"KBTBD11","ENSG00000176595"
"C2orf68","ENSG00000168887"
"ZFP82","ENSG00000181007"
"DNM3","ENSG00000197959"
"NELFB","ENSG00000188986"
"ITPR1","ENSG00000150995"
"MED23","ENSG00000112282"
"MRPL53","ENSG00000204822"
"RASAL3","ENSG00000105122"
"RYR2","ENSG00000198626"
"GPD2","ENSG00000115159"
"IFT80","ENSG00000068885"
"NOC4L","ENSG00000184967"
"WDR66",NA
"MMAB","ENSG00000139428"
"CNOT6","ENSG00000113300"
"TTC5","ENSG00000136319"
"RMDN1","ENSG00000176623"
"STK11","ENSG00000118046"
"ZNF714","ENSG00000160352"
"NSUN5P1","ENSG00000291151"
"ENDOD1","ENSG00000149218"
"TBC1D12","ENSG00000108239"
"RPAP2","ENSG00000122484"
"ARHGAP22","ENSG00000128805"
"KDM2B","ENSG00000089094"
"EGR3","ENSG00000179388"
"HAAO","ENSG00000162882"
"SLC38A7","ENSG00000103042"
"FAM86A",NA
"IKZF1","ENSG00000185811"
"DENND1C","ENSG00000205744"
"GAPDHS","ENSG00000105679"
"CCDC41",NA
"MAB21L2","ENSG00000181541"
"RRAGC","ENSG00000116954"
"CCBL1",NA
"CD46","ENSG00000117335"
"RAD9A","ENSG00000172613"
"TIMP3","ENSG00000100234"
"FRA10AC1","ENSG00000148690"
"PRPF38B","ENSG00000134186"
"PLOD1","ENSG00000083444"
"HTR1F","ENSG00000179097"
"IER5","ENSG00000162783"
"GNL1","ENSG00000204590"
"GSTK1","ENSG00000197448"
"AP1G1","ENSG00000166747"
"UTP11L",NA
"ICMT","ENSG00000116237"
"UFD1L",NA
"HS1BP3","ENSG00000118960"
"SHF","ENSG00000138606"
"KIAA1211L",NA
"OLIG2","ENSG00000205927"
"BEND7","ENSG00000165626"
"EAF1","ENSG00000144597"
"DSTNP2","ENSG00000290712"
"A2M-AS1","ENSG00000245105"
"C1orf216","ENSG00000142686"
"KIAA1704",NA
"NSFL1C","ENSG00000088833"
"ANO10","ENSG00000160746"
"RBM15","ENSG00000162775"
"SLC22A15","ENSG00000163393"
"NCAPH2","ENSG00000025770"
"PAN3-AS1",NA
"TMEM200A","ENSG00000164484"
"LRP12","ENSG00000147650"
"PTPRZ1","ENSG00000106278"
"YIPF3","ENSG00000137207"
"CAMKK1","ENSG00000004660"
"HINT3","ENSG00000111911"
"C15orf62","ENSG00000188277"
"AK7","ENSG00000140057"
"SCAND1","ENSG00000171222"
"ZNF91","ENSG00000167232"
"PPP1R32","ENSG00000162148"
"GPR75","ENSG00000119737"
"HMGN4","ENSG00000182952"
"ZNF670","ENSG00000277462"
"PRUNE",NA
"PPAPDC2",NA
"MRPS24","ENSG00000062582"
"CTBP1","ENSG00000159692"
"ZFR","ENSG00000056097"
"AURKAIP1","ENSG00000175756"
"RAB11FIP1","ENSG00000156675"
"CAPG","ENSG00000042493"
"CCDC104",NA
"C3orf58",NA
"CHMP4B","ENSG00000101421"
"TMTC4","ENSG00000125247"
"SNX1","ENSG00000028528"
"DDX27","ENSG00000124228"
"MTUS1","ENSG00000129422"
"APBA2","ENSG00000034053"
"TDRD3","ENSG00000083544"
"CCDC28B","ENSG00000160050"
"MLXIP","ENSG00000175727"
