"","Gene_Symbol","Gene_Length"
"1","ENSG00000121410",6693
"2","ENSG00000148584",86266
"3","ENSG00000175899",48254
"4","ENSG00000245105",2878
"5","ENSG00000094914",14172
"6","ENSG00000081760",77946
"7","ENSG00000109576",29999
"9","ENSG00000103591",54523
"10","ENSG00000115977",185850
"11","ENSG00000087884",51190
"12","ENSG00000127837",6041
"13","ENSG00000129673",16766
"14","ENSG00000131043",20524
"16","ENSG00000124608",14600
"17","ENSG00000266967",13972
"18","ENSG00000157426",49181
"19","ENSG00000149313",21127
"20","ENSG00000008311",70746
"21","ENSG00000275700",107996
"22","ENSG00000181409",48776
"23","ENSG00000183044",109988
"24","ENSG00000165029",147243
"25","ENSG00000251595",48774
"26","ENSG00000179869",476034
"27","ENSG00000107331",21688
"28","ENSG00000167972",64868
"29","ENSG00000154265",82747
"30","ENSG00000064687",25468
"31","ENSG00000085563",209460
"32","ENSG00000135776",42113
"33","ENSG00000005471",73658
"34","ENSG00000004846",141392
"35","ENSG00000115657",9224
"36","ENSG00000131269",103168
"37","ENSG00000197150",19359
"38","ENSG00000150967",45558
"39","ENSG00000103222",193496
"40","ENSG00000124574",22871
"41","ENSG00000023839",69199
"42","ENSG00000108846",56845
"43","ENSG00000125257",281604
"44","ENSG00000114770",98003
"45","ENSG00000091262",73906
"46","ENSG00000101986",19893
"47","ENSG00000117528",100286
"48","ENSG00000119688",17787
"49","ENSG00000164163",31520
"50","ENSG00000204574",20139
"51","ENSG00000033050",19394
"52","ENSG00000161204",7932
"53","ENSG00000160179",97555
"54","ENSG00000143994",7023
"55","ENSG00000144827",14492
"56","ENSG00000106077",2765
"57","ENSG00000100997",96239
"58","ENSG00000131969",32810
"59","ENSG00000139826",15840
"60","ENSG00000248487",6174
"61","ENSG00000114786",14176
"62","ENSG00000114779",6120
"63","ENSG00000168792",6353
"64","ENSG00000204427",16411
"65","ENSG00000183260",1775
"66","ENSG00000140526",114210
"67","ENSG00000158201",53908
"68","ENSG00000100439",14118
"69","ENSG00000011198",31842
"70","ENSG00000163686",57202
