Gene_Symbol,Gene_Length
P2RX6,12860
CBY1,17197
KBTBD11,33065
C2orf68,6803
ZFP82,26689
DNM3,571236
NELFB,18241
ITPR1,354492
MED23,54273
MRPL53,857
RASAL3,12944
RYR2,791586
GPD2,150950
IFT80,142546
NOC4L,7993
WDR66,85369
MMAB,19837
CNOT6,83936
TTC5,16852
RMDN1,36431
STK11,22636
ZNF714,42930
NSUN5P1,6441
ENDOD1,42841
TBC1D12,133903
RPAP2,89210
ARHGAP22,210242
KDM2B,152020
EGR3,5641
HAAO,25522
SLC38A7,18376
FAM86A,13488
IKZF1,128420
DENND1C,14580
GAPDHS,11907
CCDC41,151708
MAB21L2,2768
RRAGC,21626
CCBL1,48962
CD46,43478
RAD9A,6460
TIMP3,62226
FRA10AC1,34689
PRPF38B,9490
PLOD1,40875
HTR1F,11193
IER5,2341
GNL1,16216
GSTK1,5700
AP1G1,80071
UTP11L,12113
ICMT,14791
UFD1L,29274
HS1BP3,33300
SHF,33961
KIAA1211L,142375
OLIG2,3287
BEND7,64492
EAF1,15056
DSTNP2,1104
A2M-AS1,2878
C1orf216,5313
KIAA1704,38717
NSFL1C,25530
ANO10,255742
RBM15,7358
SLC22A15,93556
NCAPH2,16564
PAN3-AS1,2331
TMEM200A,76784
LRP12,99793
PTPRZ1,188931
YIPF3,5163
CAMKK1,32720
HINT3,23528
C15orf62,2489
AK7,97316
SCAND1,1742
ZNF91,37771
PPP1R32,9815
GPR75,7120
HMGN4,8592
ZNF670,44175
PRUNE,27216
PPAPDC2,2978
MRPS24,2988
CTBP1,37680
ZFR,90388
AURKAIP1,1708
RAB11FIP1,40550
CAPG,19326
CCDC104,25476
C3orf58,20570
CHMP4B,43063
TMTC4,71013
SNX1,48350
DDX27,24782
MTUS1,157123
APBA2,196676
TDRD3,177422
CCDC28B,4789
MLXIP,112315
TBC1D10A,34976
PAFAH1B1,91986
LCMT2,2846
LGALSL,7190
FXR1,70305
ATXN10,173509
CSNK2A2,39970
PCTP,26408
SLC25A30,25062
TMEM123,56719
CTSC,44181
LOC730102,31867
BAG4,36713
ATP7A,139698
HNRNPAB,6676
CDK5RAP3,10718
HSD3B7,3954
GIT2,66587
ASB11,33915
TCP1,11205
PLCB4,411761
SV2B,201357
ST7-OT4,5914
C19orf38,21254
CDR2,28681
CNKSR2,280277
ACN9,65170
LANCL1,45526
SNORA5C,136
KIAA1143,12937
ZGPAT,28700
LOC730183,785
DCTN5,32381
MYO15B,38788
C3orf33,43654
ZDHHC6,16614
ZNF611,32241
CLEC3B,9804
ATRAID,5147
TATDN2,32729
WWP1,125184
C5orf34,28470
AAMP,6041
C1R,57528
SPAST,94026
LAMP2,43201
ELOVL6,149591
RPL23AP53,23973
WDYHV1,25295
LOC100134229,2379
C11orf65,84531
LOC100130899,4245
OBSL1,20818
C2CD5,95934
TMEM132D,831941
CIZ1,38318
RPP25L,1628
ZNF263,7972
L3MBTL2,25962
UCP3,8956
CSNK1G3,104945
PTPRM,839545
C1orf86,28260
MBLAC1,1801
CTC1,23274
SNAP47,46235
TMEM205,3529
OSTC,17237
KIAA1430,44363
OPTN,38194
RGS2,3238
TPM2,8063
RPL17,4084
CHML,7065
FKBP14,16218
FAM175A,24196
FAM110A,12566
KLHL8,59460
WNK3,165182
COX8A,1936
PDE6G,6118
HPGDS,44320
SEC24C,27802
EXOSC7,36417
TARS,27394
PDE4D,1519059
MYLIP,19161
MPPED2,201890
CST7,10698
ACSL4,92057
MXD3,6791
ROM1,2379
FLJ42969,24197
NEIL3,53101
UBE2D1,35774
ATP5J2,8040
EMC2,43283
UGT2B28,14551
PBLD,50267
MXD4,14579
FAT3,544373
MKNK2,13773
GPX1,1182
SUPT6H,39947
RBM39,38727
HAVCR1P1,1254
SMIM13,44703
CCRL2,2293
LCP2,49734
SEC22A,72208
LOC254559,20445
RP9P,26355
H1FX-AS1,8298
XRCC6,42757
L3MBTL4,460205
TUBA1B,3737
PEBP1,9520
LOC100272217,2144
C22orf26,3685
NKIRAS2,8062
MCM6,36851
COX15,23918
PIP4K2A,179737
WTAP,29322
KDM4C,454785
PIP4K2C,12269
SKOR1,14132
ST7-AS2,33268
B3GALT2,7883
DUSP3,12879
CENPN,26606
PFDN2,17520
LAMP5,16166
SLC35G2,36873
ZCCHC7,237676
PPIE,25069
TNFSF8,37252
FOSL1,8305
ADRA2A,3872
SLC38A5,11717
CLMN,137969
ARRDC5,12430
FAM86B1,12011
FAM127B,1258
SESN3,67028
GNL3L,37076
FGFRL1,15076
MAN2C1,12835
MCM9,121715
SCARNA2,419
SLC41A3,95191
TRIQK,82614
HYAL2,5060
RNF20,29493
CAPN7,46690
PUS3,9736
MGST1,30047
NDRG3,94372
GOSR1,49406
C12orf61,1683
FGD5,115603
LOC148413,2516
ZBTB16,190966
TMEM80,9437
PRPF3,31776
STX12,51269
FAM45B,2506
PROCA1,8338
EGLN3,26863
SEBOX,975
SCAMP2,28473
EIF1B,2742
CD63,4230
EML5,177922
ATPBD4,175234
DST,184909
CDH4,688191
TMEM229B,45038
PGBD2,12903
MEAF6,24859
TANGO6,241576
HDGF,10341
GM2A,17340
C21orf91,30419
CYTH4,32894
DDN,4155
WDR85,24026
MALT1,78752
CCNG1,7445
LOC100287015,2992
DANCR,1684
MTDH,86081
UBALD1,6043
PLAA,44100
FAM136A,6112
TMLHE,123949
LIMS2,43364
RAD51L3-RFFL,112410
IL15,97391
CMIP,266592
SEMA4A,27807
TDP2,16910
TRIOBP,79568
LOC401980,20813
GTF2H2D,32278
BOD1L1,58962
ANAPC7,30830
PALM,39377
TMC4,13110
POLR3A,54391
C6orf48,4848
FBXL2,109823
CRYGS,5935
NUDT13,21371
TNS3,306990
FASTKD5,13367
LOC728190,103891
UBE2M,3264
NR2F6,13457
ZRANB2-AS2,156399
RIBC1,8258
MNT,16904
FAM20B,50628
SLC39A1,9085
DNAJC7,41276
TRIM17,8947
ZNF594,12347
SLIRP,9527
AGL,73939
MELK,104821
BEND4,42025
KDELR1,8983
NRAS,12430
CRYZL1,52512
UBE2F,75836
LOC92249,134434
TAF9,18287
DMPK,12839
TOLLIP,35294
LAPTM4A,19378
PRSS53,5385
CRYZ,27920
KLHL29,323185
C7orf13,2288
CPD,90733
ASH1L-AS1,1963
FAM203A,2948
SETD5-AS1,8637
YWHAH,13111
HAUS2,21179
NKX3-1,4244
HSPA12B,20441
ACPL2,62804
TMEFF1,104398
VPS36,38026
PTBP2,93430
TNFAIP8L1,16053
DNMT3L,15877
PSMB4,2371
LOC440434,61460
PRKAR1A,39536
SDCBP2,19324
ANKRD9,2930
PRH1,3314
NDUFB5,19713
CEACAM8,14687
C14orf101,69721
KCNK5,40504
GFOD2,44837
YTHDF2,33154
C9orf174,69667
PPP2R2A,81188
HDLBP,88433
LOC100289561,16772
NAALADL2,946317
CCDC159,8439
VIPAS39,30965
MFSD5,2820
LOC100130705,5637
ALDH1B1,6001
TNRC18,116754
DIMT1,15377
ERBB2,40522
KIRREL,102781
FAM78A,18441
UBXN8,22830
PLAC4,10008
TSPAN14,68353
HDX,184605
DOCK2,446135
JAGN1,3760
SNORA32,120
SNX21,9444
C1QB,8347
TUBA8,21045
DYRK1A,147820
DNTT,34236
CTSO,29778
CNOT10,88730
NAA35,81160
PARP10,9315
INTU,83847
CIB2,26929
CCNYL1,44632
GLTP,29545
HMHB1,8558
SNAPC3,38845
CES1,30311
LOC100093631,52355
SPCS1,2340
ZNF74,14348
ZNF449,18642
STARD4-AS1,227499
CDKL5,228024
SUGP1,43999
CCND1,13369
RAD54B,103155
PEX11B,7567
LOC728323,71625
KIAA0319L,123946
PDPK1,65226
GOLGA3,59931
DHRS1,9235
RNF5P1,1082
CLU,17894
SLC35F5,42467
SETDB1,38405
PPIP5K2,83266
CRHR1,215484
FAM22G,13286
SLC35E2B,31304
HIST1H3A,468
CST3,4280
FLJ37035,14203
OR2L8,938
ZNF787,33917
RBPMS,187790
PSMA2,15343
TMEM9,19732
ARPC5,9748
EIF2S3,23862
TMUB2,4745
KMO,63515
NVL,102855
TIMM23,31305
IKBKB,61351
CCDC14,47981
LEMD2,17916
IFIT1,13941
TGIF2-C20orf24,38003
FLJ42709,171938
TPPP,33533
ZNF461,29456
DCAF13,28738
HELQ,48526
PGAP1,93726
PPP1R10,16907
NPC1,55118
NAGPA,9097
DDX41,5389
CIB1,3802
MDM2,37349
ZDHHC16,11197
WDR55,6169
LRRC14,7210
IQCB1,65316
PCNXL2,311577
LOC100130298,1627
BCORL1,52894
ANAPC2,13821
EIF2AK3,70835
TLE1,104998
PTP4A3,9613
CLUAP1,38106
RNF2,57189
SNX20,15053
CASP8,54268
LINC00705,6258
METTL3,13175
HEXA,32742
ZNF117,16584
SREK1IP1,50518
KDELR3,15362
C20orf203,20356
ANKRD27,78195
WDR49,174816
ZNF282,30762
STT3B,103065
SNURF,23659
SRPK1,88146
TST,9324
ERAP2,43762
RBM38,17932
SNX14,88414
RTKN2,75513
LRIG1,121624
NPAT,65246
CAPN2,74425
POP1,42548
VAMP4,42083
PRR4,3627
RFWD3,45482
CPNE2,55423
OCEL1,2973
GPHN,674400
TTC13,72631
PCOLCE2,71343
NXN,180445
PRC1,28613
ZKSCAN2,21533
CNNM4,50989
NCOA1,186224
TPGS1,12157
NFX1,80737
BOLA3-AS1,4408
IL18R1,36120
PIGG,40331
DNMT3B,46971
MLLT10,209458
TRMT1L,39012
TSTD3,12189
RB1,178143
ZNF100,43587
EFCAB13,117350
EGFL7,13822
NPRL3,52893
FUS,14761
ING5,27440
PAXBP1-AS1,15008
HELZ,174765
USP54,78137
MIR3648,179
EIF4G1,20863
ATP6V1D,22139
UBN2,76751
HERC2,211115
HDAC11,26209
SLC22A5,25905
PARP1,47409
CCDC146,172587
WIPF2,62865
TMEM161B-AS1,167792
ITGA10,18878
ZNF493,30375
LOC100288069,13823
PDCD11,49607
GPRC5C,15901
TRPM7,129660
GLA,10222
CNTD2,4482
KATNAL2,101827
PES1,30388
SUPV3L1,28856
BRWD1-IT2,1027
ATP2A1,26021
PYURF,2823
TAF1,99741
ARPP19,21781
BBS5,27159
ZNF486,33276
KIAA0754,6978
RMND5A,57750
EFNB1,13166
GMDS,621833
MTRF1L,15525
MRPL23,9337
PTER,76802
LOC100652768,6301
MFSD1,27793
CUL9,42403
LEKR1,219822
IGFBP3,9027
LRRC47,16284
ULK2,97096
ARPC5L,8212
C17orf75,13768
MAP3K15,155203
DICER1-AS1,22245
ZFAND6,78825
FADS3,18008
HDAC2,35039
ZNF259,9463
LSM5,9925
RBCK1,22901
THAP9-AS1,7464
GLRX2,9649
LOC100128239,9069
ZNF710,80680
KIFC2,7761
GABARAP,2015
RBM25,62855
SMUG1,8636
R3HDM1,193756
TMEM230,13249
KIAA0146,475074
TVP23A,52088
DEF6,23953
KHDC1,68900
LOC100507173,16187
DDX18,17698
APOO,74592
ASB16-AS1,10743
PRDM15,81206
STK24,126941
CTDSP1,7603
WWC3,128723
UNC119,5921
GABPB2,47927
SUFU,129495
ATXN2L,14189
PAOX,12457
TAMM41,56433
DDX19A,26457
SNORA71A,137
LINC00340,527941
LMBRD1,121408
GNAI1,84585
BAP1,8984
TPRA1,17695
ZDHHC2,66405
HS6ST1,53117
SIGLEC6,12326
AHSA1,11442
NADK,28837
KIAA1377,86047
LPCAT4,8306
MEX3C,23131
GLI1,12129
STARD9,145339
ZNF562,26438
PHLDA1,6329
LRRC1,129141
IL2RG,4227
TAPBPL,10311
ZNF41,36784
NLRX1,15285
ALPP,4251
MOB1A,22784
ARHGEF2,31706
PADI4,55805
BTN3A1,12979
MRPL18,7969
ZIM2,66174
ECSIT,23256
CHMP4C,27060
ECHDC2,25864
RIOK3,30312
C9orf114,10170
ITGAL,50523
DYNC1LI1,44903
FBXL18,37971
GALNT6,39367
SLC1A4,35421
TAF5,21098
MS4A4A,28431
SLC7A11,78255
UBXN1,2555
TNFAIP3,16126
