"","Gene_Symbol","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","s12","s13","s14","s15","s16","s17","s18","s19","s20","s21","s22","s23","s24","s25","s26","s27","s28","s29","s30","Gene_Length"
"1","ENSG00000000003",2,8,0,1,0,1,0,8,6,0,2,2,2,3,1,0,0,0,9,1,0,0,7,5,3,6,8,2,6,1,7999
"3","ENSG00000000419",602,408,257,154,56,205,45,0,172,749,163,192,0,0,44,0,0,263,373,852,226,72,486,740,392,268,278,280,107,286,23655
"4","ENSG00000000457",666,745,396,166,237,163,99,0,309,730,318,267,17,1,1,0,41,538,507,596,33,18,803,829,1712,583,653,339,219,422,40885
"5","ENSG00000000938",19866,24512,15778,6518,5992,3078,3897,1069,15868,27184,10243,18800,278,564,1379,927,1749,20732,12947,28069,532,22729,24058,36978,27025,26646,30522,19972,20339,31987,22926
"6","ENSG00000000971",132,118,50,0,10,17,0,0,53,26,124,31,0,1,1,1,0,0,89,47,0,0,268,165,40,29,98,36,21,45,95626
"7","ENSG00000001036",357,440,464,37,89,85,52,57,293,698,142,149,0,0,7,0,1,469,301,1033,1,281,479,393,220,154,292,215,228,489,17071
"8","ENSG00000001084",352,454,208,47,10,151,24,2,102,375,169,104,5,27,12,60,0,262,485,582,0,3,527,465,104,138,187,271,119,402,47787
"9","ENSG00000001167",3066,2577,649,201,200,619,127,79,793,2157,767,437,32,27,68,75,299,644,1517,1621,0,677,2282,4814,3720,2131,2422,1915,1448,1558,29439
"10","ENSG00000001460",71,99,0,39,49,49,3,1,45,85,56,59,2,2,0,15,0,196,53,89,0,287,82,46,32,57,72,46,67,81,58098
"11","ENSG00000001461",1154,1043,406,643,522,352,68,1,268,920,504,406,72,56,7,246,235,1182,791,591,1,132,671,565,258,562,722,519,586,1117,57228
"12","ENSG00000001497",1510,1448,1280,191,606,891,176,9,647,1302,937,868,8,30,37,362,7,1340,790,738,230,783,1160,613,530,1020,1449,666,870,1596,22224
"13","ENSG00000001561",545,379,32,0,0,19,15,0,83,321,142,51,0,0,0,0,0,107,373,265,52,2,634,322,108,134,158,184,16,131,16735
"14","ENSG00000001617",8,7,0,1,1,44,0,1,1,13,4,2,13,6,7,0,0,16,9,10,0,3,1,3,1,13,12,12,6,41,33660
"16","ENSG00000001629",1356,1162,220,63,46,119,27,7,139,758,488,67,61,2,17,30,0,312,912,865,0,385,1222,1029,379,513,721,559,256,363,155150
"17","ENSG00000001630",33,43,6,0,3,0,0,42,43,11,51,16,1,0,3,0,0,28,40,36,0,0,38,29,4,27,34,41,13,8,22596
"18","ENSG00000001631",782,580,129,148,13,137,17,94,110,516,411,139,16,0,11,0,122,200,650,629,0,205,676,502,164,339,436,280,87,106,47131
"19","ENSG00000002016",289,340,105,12,15,112,10,10,82,245,216,125,8,3,12,0,0,146,165,207,0,0,391,186,57,242,195,181,42,92,37608
"21","ENSG00000002330",441,444,773,1230,1104,462,145,127,445,794,450,1213,38,106,62,528,0,782,307,686,142,121,505,612,426,603,697,472,606,1129,14876
"22","ENSG00000002549",1271,1235,1727,169,201,782,288,11,670,1849,965,597,17,52,46,0,1,1103,2334,1001,0,559,1101,1392,21165,902,1231,794,341,4047,30663
"24","ENSG00000002587",57,25,19,20,40,20,14,1,10,92,69,42,3,0,3,8,1,82,34,29,0,0,26,24,23,31,29,21,35,11,30549
"28","ENSG00000002822",809,1184,1211,383,787,1025,307,273,1038,1273,1614,2021,10,67,132,293,104,2660,1315,965,8,3409,1333,1019,453,1120,1164,855,851,1235,417155
"29","ENSG00000002834",14693,14312,13232,4959,2991,3422,2890,1029,11932,20229,7451,15928,693,742,1392,502,411,14579,8297,18647,968,26185,13438,23982,14212,22011,21654,15405,15585,18062,51911
"30","ENSG00000002919",1560,1272,1245,579,514,225,356,0,944,1900,776,1070,16,0,19,0,0,764,789,1647,0,654,1126,2278,2908,1064,1381,834,1073,1751,15185
"31","ENSG00000002933",677,75,1127,367,133,131,155,2,917,51,82,146,2,29,19,0,1,220,1496,200,0,460,2095,1541,113,76,156,829,755,2159,4354
"32","ENSG00000003056",2337,1778,1408,89,203,444,288,54,1038,3417,1199,742,5,76,34,6,0,2393,1930,3011,341,1875,2662,2237,1140,1141,1421,1277,1051,2151,9400
"33","ENSG00000003096",8,13,1,0,0,47,0,0,10,16,0,0,2,0,0,1,1,1,2,21,0,2,5,6,1,4,6,5,4,1,219527
"35","ENSG00000003147",114,88,126,48,33,39,1,23,59,70,22,90,87,11,28,56,3,34,84,124,0,3,70,122,42,65,65,83,30,135,149427
"37","ENSG00000003393",554,321,68,26,32,185,14,3,63,464,209,62,1,1,0,0,0,207,336,484,1,1,607,515,142,291,336,245,79,122,80909
"38","ENSG00000003400",1225,1204,583,44,159,485,84,0,501,1437,399,351,5,53,13,0,181,913,900,962,318,236,849,980,1429,599,888,694,489,1725,46508
"39","ENSG00000003402",24563,15377,11342,5412,3543,2789,2125,496,9354,16398,5964,12442,599,1136,1448,848,1347,6582,10600,18470,171,10369,12806,39940,21808,20586,24329,13649,9613,13101,56534
"40","ENSG00000003436",19,27,0,1,1,1,0,0,2,32,11,1,0,0,1,2,0,6,11,24,0,0,10,23,4,5,9,6,8,17,90261
"41","ENSG00000003509",447,412,61,4,66,63,30,0,108,229,290,99,0,1,0,3,0,295,282,290,1,0,284,331,190,257,304,193,65,189,17529
"42","ENSG00000003756",7986,7573,3657,668,1244,2847,613,179,2764,7059,3138,2200,62,255,124,42,15,4168,4103,4034,309,1447,5909,7718,4084,6133,7896,4695,3367,6992,30056
"43","ENSG00000003987",2,0,0,0,2,0,0,6,0,0,0,3,2,5,9,0,2,1,0,3,0,1,1,0,0,0,0,3,0,0,116734
"45","ENSG00000004059",2654,2958,2345,1568,2206,1301,709,4,2291,5354,1176,2898,10,173,45,153,659,2750,1700,3182,158,2143,2397,3452,3388,2789,3550,1988,2618,6633,3353
"46","ENSG00000004139",827,746,841,73,159,269,140,112,400,630,685,370,221,105,76,57,1,1633,750,488,0,489,697,399,137,689,833,532,697,495,29078
"47","ENSG00000004142",1143,1039,938,438,297,416,200,1,598,1298,692,663,4,0,27,68,0,1266,844,1294,0,1167,1158,1015,1071,1030,1271,748,983,2257,10944
"48","ENSG00000004399",2792,4168,3281,61,263,687,281,373,2031,2590,1810,2420,129,948,407,72,1,5621,2735,4509,12,4409,3170,2493,152,3630,3616,2631,2222,6592,51526
"49","ENSG00000004455",1528,1265,1138,397,286,211,174,0,768,2208,756,772,153,1,20,2,1,1661,1245,1554,321,1620,1545,1191,1577,1000,1323,827,1198,2337,28971
"50","ENSG00000004468",460,550,128,25,30,115,59,0,239,473,179,98,2,0,0,0,0,322,627,479,119,97,587,508,473,351,335,317,148,1702,70775
"51","ENSG00000004478",1518,850,1002,568,499,509,187,204,644,2757,754,977,25,20,131,33,396,1669,814,925,0,983,999,899,633,614,862,529,1560,583,10479
"52","ENSG00000004487",1460,1295,910,96,104,975,175,53,551,1165,679,474,47,122,181,70,3,939,963,1108,86,130,1204,823,283,649,1012,591,477,1164,64243
"53","ENSG00000004534",6112,4592,2966,1166,735,2653,480,38,2233,4353,3251,2040,165,160,153,145,16,3195,2881,3481,275,1470,5434,4022,1727,2238,4676,2771,1459,1468,137208
"54","ENSG00000004660",804,1015,372,84,327,591,79,3,578,1076,428,862,130,18,49,55,0,332,459,909,61,575,631,1194,180,1439,1659,814,616,907,32720
"55","ENSG00000004700",965,988,396,33,82,378,47,0,196,976,466,118,0,0,4,0,0,315,874,937,0,378,1300,876,303,377,426,400,95,213,32759
"57","ENSG00000004777",403,467,419,102,142,179,82,309,343,342,927,786,120,117,57,0,1,722,455,360,267,35,474,285,97,777,814,601,566,408,13307
"58","ENSG00000004779",218,272,188,159,32,142,26,0,176,185,205,276,0,30,1,10,0,208,290,618,0,178,230,211,180,111,184,96,140,453,15304
"60","ENSG00000004809",42,38,1,0,5,0,0,0,12,12,1,2,3,0,0,0,0,41,3,170,0,0,15,5,35,5,14,8,0,96,51952
"61","ENSG00000004838",142,129,86,143,146,243,29,1,98,300,121,192,0,4,44,1,0,120,64,147,0,2,110,99,25,195,160,109,272,229,4619
"62","ENSG00000004846",5,3,0,0,1,1,0,4,0,0,0,0,0,45,1,0,0,1,1,2,0,0,1,1,2,1,0,2,1,0,141392
"64","ENSG00000004864",209,310,3,0,0,110,15,0,70,216,115,46,1,1,41,1,0,212,222,344,0,2,389,325,154,251,305,179,106,307,201927
"65","ENSG00000004866",162,186,180,16,14,80,8,40,73,305,103,69,0,5,13,2,0,134,169,264,0,1,210,269,108,100,145,121,115,410,276694
"66","ENSG00000004897",774,708,184,38,39,133,53,13,113,675,269,71,6,0,7,4,0,324,721,779,46,0,891,859,391,331,387,390,121,852,71354
"67","ENSG00000004939",84,32,293,1,1957,1816,18,14,63,334,28,41,0,61,62,9,4,1671,24,12,0,460,11,119,61,139,251,410,217,1368,19744
"69","ENSG00000004961",331,281,243,244,80,109,63,1,189,480,159,196,3,7,20,0,0,640,240,283,0,42,367,235,277,232,249,181,218,480,11798
"70","ENSG00000004975",785,834,1053,146,300,569,273,288,531,1034,1144,880,4,96,231,5,3,2051,744,825,295,1217,883,565,429,1188,1486,662,820,1122,9202
"72","ENSG00000005007",5701,5576,5704,316,892,2729,1101,1265,3511,6616,4356,5108,191,657,412,69,1,4496,3686,6169,259,5914,4639,7364,4156,6890,8481,3615,4872,7118,36295
"73","ENSG00000005020",1390,2101,1069,3974,2604,263,144,0,1069,3696,638,1819,8,244,142,1618,1094,716,1002,3794,158,1078,2328,5807,3834,1923,2817,1380,1081,735,197653
"74","ENSG00000005022",3881,3219,4306,352,565,2205,825,2,2487,6186,1790,1887,12,34,66,2,44,4526,2687,4251,0,1935,3167,2612,3414,2543,3447,1996,3091,13919,2996
"76","ENSG00000005075",727,779,900,389,600,492,188,9,455,1046,550,1522,122,123,43,230,0,1399,522,996,621,1206,950,1068,1499,915,1403,843,1002,2670,5833
"77","ENSG00000005100",411,391,239,172,321,186,25,90,108,390,235,190,0,0,10,360,11,313,421,425,3,109,396,281,99,263,274,165,136,299,28148
"79","ENSG00000005108",21,6,36,6,4,0,1,3,2,10,4,3,1,5,1,0,2,4,23,13,0,4,2,23,4,7,2,22,5,6,461762
"80","ENSG00000005156",686,628,319,41,56,303,38,68,212,594,381,199,0,7,28,0,1,609,346,337,0,550,574,361,295,406,483,352,260,607,24571
"81","ENSG00000005175",503,610,336,38,102,156,61,0,160,832,287,165,3,1,29,42,107,98,345,721,0,1,483,709,724,242,310,211,106,132,44129
"82","ENSG00000005187",130,119,151,0,32,102,17,0,19,230,45,5,1,0,0,44,0,63,63,81,0,2,108,94,90,79,116,56,36,88,33167
"83","ENSG00000005194",679,797,449,65,191,430,116,56,306,932,476,326,0,28,6,0,0,776,418,515,0,687,619,515,512,413,512,366,423,1673,19282
"84","ENSG00000005206",1510,1952,1544,107,685,2775,425,420,975,1319,3513,2804,63,340,108,681,297,3152,2017,1455,171,1802,1785,930,289,2391,2450,1369,1559,1340,26471
"86","ENSG00000005249",483,694,314,167,73,705,22,5,144,558,330,337,77,43,35,70,15,1094,1015,2108,393,431,513,1646,518,196,670,817,251,394,117078
"87","ENSG00000005302",4679,3105,1074,378,107,730,186,112,1162,3090,1287,564,66,121,140,62,0,1282,1607,3694,10,1329,3164,6252,3302,2211,2574,1452,1038,1687,17594
"88","ENSG00000005339",10640,11975,7587,1555,1575,3142,1255,1075,5302,8995,6331,8493,551,1015,1824,1511,408,8614,8586,9482,828,13125,7308,18676,6998,21411,26268,12115,7665,7765,155065
"89","ENSG00000005381",1131,122,74,110,241,69,90,0,112,221,81,24,1,4,19,1,0,219,110,1323,0,3,166,227,122,136,346,393,93,18759,11079
"91","ENSG00000005436",194,263,39,52,66,124,21,6,72,267,66,20,1,1,5,0,0,54,207,164,0,0,319,149,47,74,101,106,51,94,48279
"92","ENSG00000005448",408,314,484,554,245,258,101,0,221,403,381,307,0,0,5,102,26,504,288,256,29,640,379,184,145,331,391,219,239,547,3997
"93","ENSG00000005469",233,233,108,4,1,11,11,0,60,221,100,44,1,1,0,0,0,48,171,196,0,214,216,127,44,83,118,108,44,70,54161
"94","ENSG00000005471",205,184,75,0,48,126,35,2,30,158,216,57,0,5,0,0,0,222,200,34,1,24,162,162,37,123,178,78,18,61,73658
"96","ENSG00000005486",1373,2108,2090,1356,1749,1683,595,384,1376,2556,1233,2622,1,93,97,366,330,3115,1148,1582,419,2366,1687,2129,2696,2791,3270,1829,2610,8518,9927
"97","ENSG00000005513",73,26,29,6,5,139,0,4,9,29,49,37,8,5,6,1,0,30,69,58,0,1,45,17,6,23,18,12,22,14,5171
"98","ENSG00000005700",696,726,170,42,25,176,27,0,124,455,278,124,8,1,1,0,27,210,754,856,0,183,739,515,204,227,303,341,51,177,77492
"99","ENSG00000005801",295,469,234,23,30,89,24,0,92,362,183,42,0,0,3,4,0,110,375,378,0,1,481,360,91,181,195,142,72,218,21295
"100","ENSG00000005810",6769,5153,1171,1024,1175,1100,114,187,587,2797,2545,729,354,249,443,700,1427,2104,5263,3811,425,1843,5703,5497,3283,3033,3864,2553,931,1532,282385
"101","ENSG00000005812",1643,1792,448,40,28,396,54,11,325,1525,642,147,1,79,38,15,44,491,1610,1833,174,235,1645,3161,1044,644,799,802,371,871,21942
"102","ENSG00000005844",20286,22797,23580,5634,5252,8316,3962,760,16130,25142,20308,17221,1028,1392,1222,1515,2030,39725,19849,14275,3335,27990,25386,15696,11301,25027,29558,20073,17930,28939,50523
"103","ENSG00000005882",460,607,759,155,180,400,164,0,459,813,517,745,17,1,14,349,4,1361,539,546,256,706,550,371,237,729,721,507,553,987,16632
"105","ENSG00000005889",1318,989,432,33,99,352,53,16,205,1380,683,109,11,9,23,29,1,372,1225,923,0,1026,998,1504,897,819,723,641,271,562,66610
"106","ENSG00000005893",2720,3065,1783,692,296,216,428,0,1248,4288,433,1293,8,13,47,0,0,656,1712,7157,35,1696,2078,7585,9387,2457,2587,1948,1379,2836,43201
"107","ENSG00000005961",1857,4192,9919,4623,16213,17180,1073,63,2062,4085,3912,11787,9,322,201,786,919,27659,2733,7116,1204,6670,855,9028,2057,2537,10473,4843,1928,8320,17323
"109","ENSG00000006007",1331,1428,2005,1533,1813,669,323,1,1156,2645,528,1463,0,19,38,71,394,867,849,2361,92,1962,1283,2620,1871,1328,1820,1081,871,2558,20435
"111","ENSG00000006025",1312,1966,1642,188,360,820,182,61,993,1033,1782,1690,5,15,83,0,1,2051,1156,657,504,109,1752,911,331,2007,2045,1253,993,2757,14414
"112","ENSG00000006042",7,3,1,7,16,8,0,2,0,1,0,4,6,0,1,1,2,0,3,2,0,2,1,3,0,0,1,9,2,10,13739
"115","ENSG00000006062",2072,2485,2622,294,638,1737,507,89,1436,2071,2173,2224,66,101,118,0,1029,3985,1710,1821,198,983,2009,1628,689,2754,3336,1549,1518,2701,53926
"119","ENSG00000006125",4308,3630,3313,358,569,920,444,6,1856,5477,2632,1728,128,144,164,19,68,4520,3176,3376,164,3572,3613,3898,2556,2504,2913,2196,3027,3469,139154
"121","ENSG00000006194",1412,1871,1081,506,464,811,292,138,1013,3045,1148,1317,38,661,299,154,26,2041,1320,1723,63,1052,2008,2255,2143,1632,1809,1292,3125,1804,7972
"123","ENSG00000006282",935,1304,1085,68,375,1605,30,28,809,1067,1338,663,9,4,58,63,343,1804,836,671,0,485,1575,757,254,1170,1718,880,1173,2225,8763
"128","ENSG00000006451",432,379,202,44,88,191,40,55,167,427,190,139,33,68,32,161,1,301,309,529,0,377,400,322,170,163,212,223,131,403,84571
"129","ENSG00000006453",27,14,0,33,0,3,0,3,6,26,14,0,3,2,3,0,1,12,12,32,0,1,14,9,5,32,14,18,14,27,109465
"131","ENSG00000006530",572,512,216,0,21,78,21,0,167,320,164,36,0,2,19,0,0,422,445,373,1,0,677,286,159,262,279,238,185,618,103131
"132","ENSG00000006534",1028,706,2299,1986,2139,1553,432,39,1416,4579,854,1829,88,243,150,1803,1585,2255,1064,1995,1,3527,1514,1545,667,1199,2040,1279,2049,4387,20695
"134","ENSG00000006576",838,630,84,44,51,183,25,3,154,626,246,101,0,0,34,0,23,129,721,526,91,202,598,724,196,319,333,382,99,390,158712
"136","ENSG00000006607",732,675,415,81,340,483,32,7,146,616,458,159,4,7,49,258,57,514,543,350,3,1,445,386,222,420,669,453,251,548,138592
"138","ENSG00000006625",186,141,104,144,28,166,14,0,86,206,190,75,8,0,0,0,0,157,169,230,0,0,163,133,120,104,155,75,47,282,8220
"139","ENSG00000006634",609,648,103,8,1,404,42,0,114,592,140,149,3,2,1,1,0,92,372,156,0,0,407,457,104,210,219,312,76,252,33312
"141","ENSG00000006652",7493,8068,1360,523,263,3159,319,155,2611,9699,2512,2490,216,136,208,271,54,2397,4654,4114,0,2268,7342,14064,5298,10159,10669,5628,3255,3107,54059
"143","ENSG00000006695",370,255,375,44,20,113,65,1,165,245,201,110,3,1,11,1,1,261,330,205,0,3,272,146,132,226,258,124,83,250,139277
"144","ENSG00000006704",28,24,19,22,26,19,2,0,8,0,17,2,2,4,1,0,2,4,6,4,1,3,13,3,2,16,15,7,18,11,148800
"145","ENSG00000006712",4804,4182,3416,2227,1563,3080,749,494,2811,5819,3444,4856,51,393,285,347,280,4773,2765,2823,469,4955,3516,4465,8093,5834,5408,3888,4567,4178,5565
"146","ENSG00000006715",806,1334,555,592,486,168,167,3,246,1351,446,328,1,77,23,107,1,455,951,1165,0,206,872,1400,741,535,774,471,352,369,185257
"148","ENSG00000006744",1419,1752,1264,147,295,1060,221,4,716,1697,1385,652,12,32,38,0,214,1989,1136,1568,192,666,1624,826,441,1275,1743,970,1007,2799,26452
"150","ENSG00000006756",562,433,583,389,588,320,168,19,503,780,306,421,2,2,20,102,594,548,383,780,0,558,372,447,294,288,417,271,450,308,25405
"151","ENSG00000006757",50,61,32,107,21,123,6,1,63,140,67,27,0,0,0,0,0,190,142,134,0,0,63,44,43,47,28,30,101,133,28976
"153","ENSG00000006831",1478,1547,1036,144,185,612,141,84,729,1756,814,607,9,17,61,27,0,1687,1160,1696,0,780,1329,1448,901,836,1277,875,783,3333,97598
"156","ENSG00000007038",59,85,30,0,0,191,48,0,27,132,41,29,1,3,2,64,0,195,62,78,0,202,39,23,46,33,46,78,97,78,4559
"157","ENSG00000007047",637,794,1431,549,1129,486,222,62,1105,967,733,1615,95,95,165,473,8,1771,755,1364,0,2220,900,1113,476,946,1643,1068,1271,1585,54025
"158","ENSG00000007062",9,3,1,0,0,2,0,0,2,1,0,0,0,1,0,0,0,0,2,10,0,1,4,11,2,2,3,7,4,12,115774
"159","ENSG00000007080",376,420,597,793,1014,613,93,6,527,596,867,1576,75,2,106,461,1146,1531,519,932,70,2266,551,315,243,455,701,543,520,742,10970
"160","ENSG00000007129",727,404,149,31,237,289,69,1,300,820,620,435,1,2,17,31,0,729,354,501,0,375,573,257,154,530,685,297,275,461,10666
"161","ENSG00000007168",3184,2819,1833,339,317,1085,431,477,1356,3507,1441,1303,78,98,181,122,14,1828,2517,3718,204,2214,2756,4264,3336,2276,2704,1747,1129,4346,91986
"162","ENSG00000007171",7,4,0,0,0,1,2,1,0,2,24,8,2,2,1,0,0,1,1,4,0,2,2,2,0,3,5,4,3,2,43763
"165","ENSG00000007237",4816,2762,3017,1173,903,531,317,40,3082,5030,2072,3187,220,350,448,2,149,4214,3442,7925,1,5270,4336,4874,12912,2500,4512,2693,5178,4799,287942
"166","ENSG00000007255",264,319,395,719,679,401,92,4,226,474,398,594,0,66,5,766,38,859,441,454,5,504,297,132,209,316,370,283,574,601,15315
"167","ENSG00000007264",1986,1939,2815,552,649,395,335,112,2037,3383,2610,4068,38,197,197,94,110,5181,1762,1215,121,2926,3725,1022,347,2341,2617,2161,1847,2382,23843
"169","ENSG00000007312",1795,2459,3627,2482,2806,2605,1267,108,1420,4225,3443,2951,49,47,34,1010,386,9151,1456,2334,254,5171,1306,1111,983,2152,3256,1720,1823,2574,3606
"171","ENSG00000007341",312,375,336,195,128,223,75,89,242,470,213,311,130,100,36,0,0,245,267,300,47,546,382,606,268,510,598,369,314,314,95899
"173","ENSG00000007372",0,3,1,2,0,5,0,2,1,1,2,2,3,11,6,1,2,3,0,2,0,5,2,3,2,1,2,6,6,2,33169
"174","ENSG00000007376",276,419,833,172,500,758,199,2,452,682,537,886,7,62,51,0,7,1130,497,902,0,982,547,481,184,582,722,376,480,965,3409
"175","ENSG00000007384",6,11,2,1,0,0,0,8,1,25,14,0,3,37,15,0,0,53,8,11,0,3,13,9,1,12,9,12,33,9,14571
"176","ENSG00000007392",1818,1793,899,248,688,1073,153,60,688,1315,1290,1410,21,5,52,27,0,1199,1189,891,455,892,1892,1228,371,1332,1534,1102,916,1298,40479
"178","ENSG00000007516",778,762,963,254,366,1384,247,43,592,646,906,1248,250,59,83,16,4,994,750,1951,5,1148,838,716,322,1758,2307,952,1060,140,15836
"179","ENSG00000007520",524,621,903,814,704,418,182,431,699,999,555,1226,36,63,52,125,390,1839,508,1024,0,1057,616,439,416,830,904,511,826,1063,2632
"180","ENSG00000007541",488,707,779,367,938,611,212,184,492,743,1000,1069,112,22,51,11,0,1219,557,833,0,1360,639,394,217,778,1069,513,799,768,14168
"181","ENSG00000007866",31,8,0,20,3,4,0,279,19,12,3,11,12,18,39,3,24,11,5,22,0,5,6,28,5,29,11,5,23,19,23487
"182","ENSG00000007908",3,0,0,2,0,4,1,1,1,0,0,1,0,0,0,1,1,1,0,5,0,0,0,1,0,1,0,2,0,0,11439
"183","ENSG00000007923",1205,1404,1207,267,226,1123,224,297,600,1357,845,580,6,59,55,2,3,1294,961,931,2,1679,1184,672,395,887,1210,716,979,1568,67738
"185","ENSG00000007944",11762,13553,3225,2541,3446,3865,695,327,3410,8228,4650,6169,261,112,254,229,556,2962,5354,4149,640,3772,14543,22694,16069,14926,13074,9886,2753,4685,19161
"187","ENSG00000007968",237,232,308,140,148,187,109,1,176,329,162,193,6,62,68,28,1,378,332,270,0,210,146,419,36,227,255,247,169,2613,24792
"188","ENSG00000008018",2496,2099,1559,1155,1013,880,358,4,1972,2061,883,1585,11,37,29,302,8,1470,1572,3243,0,1552,1737,1887,5087,1461,2043,1173,1061,3571,18213
"190","ENSG00000008083",3530,3865,2456,739,2529,1150,514,150,1799,3093,1543,2091,47,328,590,66,659,1857,2964,2928,745,1746,2336,4674,2378,4140,5571,3048,1782,3879,276067
"191","ENSG00000008086",125,96,51,8,17,0,7,0,23,67,64,12,0,0,22,1,0,27,93,140,218,259,145,364,154,140,213,94,23,51,228024
"193","ENSG00000008128",193,284,181,28,48,284,24,171,160,163,229,231,40,64,41,1,30,162,345,269,1,487,233,254,103,395,355,230,152,82,21621
"194","ENSG00000008130",12684,14121,15345,4558,5013,2514,4351,636,10776,20183,7019,16564,972,1925,2324,581,2,6603,6190,17562,495,11461,10034,27367,28393,22869,23593,12253,12257,12339,28837
"198","ENSG00000008256",678,487,357,12,43,115,41,54,157,767,543,173,137,72,43,0,0,423,448,366,0,1,593,445,100,552,703,325,289,1025,110830
"199","ENSG00000008277",167,98,25,0,1,1,9,6,16,21,84,22,0,2,5,1,0,19,72,56,0,1,153,81,30,75,45,37,13,13,268638
"200","ENSG00000008282",770,608,237,46,61,308,127,1,205,839,306,161,1,9,2,15,0,304,526,1051,0,248,458,573,370,196,285,272,158,615,22279
"201","ENSG00000008283",981,1022,1065,82,159,96,143,7,381,935,1036,699,25,93,35,17,0,1020,841,518,0,707,883,404,381,857,996,469,758,735,14057
"202","ENSG00000008294",3659,3615,971,1223,590,619,143,204,937,2637,1015,1166,72,184,444,313,32,780,2186,3464,0,1728,2949,7995,2261,2955,3434,2349,1070,2505,158691
"203","ENSG00000008300",293,529,375,110,22,142,11,24,85,140,234,113,2,31,29,1,0,321,203,125,0,9,388,105,16,243,411,189,391,241,26452
"204","ENSG00000008311",66,95,0,0,0,86,0,0,20,37,68,5,0,2,0,0,0,82,33,35,0,1,129,47,4,41,81,28,13,14,70746
"205","ENSG00000008323",0,3,0,4,0,0,0,1,0,1,0,1,5,4,1,0,0,4,0,2,0,2,1,3,0,1,1,2,0,1,18070
"206","ENSG00000008324",432,491,190,129,147,165,95,26,234,662,158,209,0,6,1,256,0,182,270,523,0,173,350,411,358,153,203,197,267,568,4192
"207","ENSG00000008382",271,487,496,250,321,330,107,138,368,754,365,601,15,24,14,115,0,715,362,483,0,679,474,303,303,373,483,369,508,907,16559
"208","ENSG00000008394",166,35,109,72,26,6,25,1,82,230,30,62,0,45,0,0,13,176,71,676,194,277,118,161,37,15,97,70,44,190,30047
"209","ENSG00000008405",924,804,216,124,53,206,39,248,181,659,648,191,1,48,23,20,0,577,477,332,1,241,908,897,149,525,477,526,338,926,102492
"211","ENSG00000008441",108,149,72,119,768,955,10,16,113,379,185,295,15,20,59,9,213,658,171,222,0,9,115,118,140,122,225,135,163,442,103026
"212","ENSG00000008513",7170,7049,3693,2148,2663,1850,401,284,2191,6125,3746,2828,692,263,409,859,524,6703,4922,3499,697,3616,4832,3898,3575,5172,6989,3704,3977,8172,117092
"213","ENSG00000008516",64479,16640,17941,10591,7427,2661,4424,641,18433,20077,12833,44065,1035,1429,2233,430,1,4690,7155,36848,953,30101,15329,39388,15878,45529,44438,29183,21968,14667,14042
"215","ENSG00000008710",2553,1783,1988,290,509,1707,368,546,1148,1544,3098,2326,160,751,302,524,13,4360,2602,1649,371,777,1723,897,158,2708,3233,1309,1517,795,47188
"217","ENSG00000008838",1774,2099,1738,55,288,875,217,195,805,2016,1703,855,6,13,38,10,3,2712,1293,1568,5,711,1788,1129,471,1624,1885,1350,1367,2704,35539
"218","ENSG00000008853",519,377,755,89,66,720,54,87,214,864,497,410,15,4,18,6,106,1533,528,555,86,998,542,443,157,458,816,721,460,184,32780
"219","ENSG00000008869",2321,1959,403,34,164,474,57,0,304,1286,1033,285,0,9,18,0,2,1067,1653,1585,0,12,1837,2075,695,1102,1582,747,392,854,103332
